Continente,ABV
Asia,AFG
Europa,ALB
Antartida,ATA
Africa,DZA
Oceania,ASM
Europa,AND
Africa,AGO
America_do_Norte,ATG
Asia,AZE
America_do_Sul,ARG
Oceania,AUS
Europa,AUT
America_do_Norte,BHS
Asia,BHR
Asia,BGD
Asia,ARM
America_do_Norte,BRB
Europa,BEL
America_do_Norte,BMU
Asia,BTN
America_do_Sul,BOL
Europa,BIH
Africa,BWA
Antartida,BVT
America_do_Sul,BRA
America_do_Norte,BLZ
Asia,IOT
Oceania,SLB
America_do_Norte,VGB
Asia,BRN
Europa,BGR
Asia,MMR
Africa,BDI
Europa,BLR
Asia,KHM
Africa,CMR
America_do_Norte,CAN
Africa,CPV
America_do_Norte,CYM
Africa,CAF
Asia,LKA
Africa,TCD
America_do_Sul,CHL
Asia,CHN
Asia,TWN
Asia,CXR
Asia,CCK
America_do_Sul,COL
Africa,COM
Africa,MYT
Africa,COG
Africa,COD
Oceania,COK
America_do_Norte,CRI
Europa,HRV
America_do_Norte,CUB
Asia,CYP
Europa,CZE
Africa,BEN
Europa,DNK
America_do_Norte,DMA
America_do_Norte,DOM
America_do_Sul,ECU
America_do_Norte,SLV
Africa,GNQ
Africa,ETH
Africa,ERI
Europa,EST
Europa,FRO
America_do_Sul,FLK
Antartida,SGS
Oceania,FJI
Europa,FIN
Europa,ALA
Europa,FRA
America_do_Sul,GUF
Oceania,PYF
Antartida,ATF
Africa,DJI
Africa,GAB
Asia,GEO
Africa,GMB
Europa,DEU
Africa,GHA
Europa,GIB
Oceania,KIR
Europa,GRC
America_do_Norte,GRL
America_do_Norte,GRD
America_do_Norte,GLP
Oceania,GUM
America_do_Norte,GTM
Africa,GIN
America_do_Sul,GUY
America_do_Norte,HTI
Antartida,HMD
Europa,VAT
America_do_Norte,HND
Asia,HKG
Europa,HUN
Europa,ISL
Asia,IND
Asia,IDN
Asia,IRN
Asia,IRQ
Europa,IRL
Asia,ISR
Europa,ITA
Africa,CIV
America_do_Norte,JAM
Asia,JPN
Asia,KAZ
Asia,JOR
Africa,KEN
Asia,PRK
Asia,KOR
Asia,KWT
Asia,KGZ
Asia,LAO
Asia,LBN
Africa,LSO
Europa,LVA
Africa,LBR
Africa,LBY
Europa,LIE
Europa,LTU
Europa,LUX
Asia,MAC
Africa,MDG
Africa,MWI
Asia,MYS
Asia,MDV
Africa,MLI
Europa,MLT
America_do_Norte,MTQ
Africa,MRT
Africa,MUS
America_do_Norte,MEX
Europa,MCO
Asia,MNG
Europa,MDA
Europa,MNE
America_do_Norte,MSR
Africa,MAR
Africa,MOZ
Asia,OMN
Africa,NAM
Oceania,NRU
Asia,NPL
Europa,NLD
America_do_Norte,ANT
America_do_Norte,CUW
America_do_Norte,ABW
America_do_Norte,SXM
America_do_Norte,BES
Oceania,NCL
Oceania,VUT
Oceania,NZL
America_do_Norte,NIC
Africa,NER
Africa,NGA
Oceania,NIU
Oceania,NFK
Europa,NOR
Oceania,MNP
Oceania,UMI
Oceania,FSM
Oceania,MHL
Oceania,PLW
Asia,PAK
Asia,PSE
America_do_Norte,PAN
Oceania,PNG
America_do_Sul,PRY
America_do_Sul,PER
Asia,PHL
Oceania,PCN
Europa,POL
Europa,PRT
Africa,GNB
Asia,TLS
America_do_Norte,PRI
Asia,QAT
Africa,REU
Europa,ROU
Asia,RUS
Africa,RWA
America_do_Norte,BLM
Africa,SHN
America_do_Norte,KNA
America_do_Norte,AIA
America_do_Norte,LCA
America_do_Norte,MAF
America_do_Norte,SPM
America_do_Norte,VCT
Europa,SMR
Africa,STP
Asia,SAU
Africa,SEN
Europa,SRB
Africa,SYC
Africa,SLE
Asia,SGP
Europa,SVK
Asia,VNM
Europa,SVN
Africa,SOM
Africa,ZAF
Africa,ZWE
Europa,ESP
Africa,SSD
Africa,SDN
Africa,ESH
America_do_Sul,SUR
Europa,SJM
Africa,SWZ
Europa,SWE
Europa,CHE
Asia,SYR
Asia,TJK
Asia,THA
Africa,TGO
Oceania,TKL
Oceania,TON
America_do_Norte,TTO
Asia,ARE
Africa,TUN
Europa,TUR
Asia,TKM
America_do_Norte,TCA
Oceania,TUV
Africa,UGA
Europa,UKR
Europa,MKD
Africa,EGY
Europa,GBR
Europa,GGY
Europa,JEY
Europa,IMN
Africa,TZA
America_do_Norte,USA
America_do_Norte,VIR
Africa,BFA
America_do_Sul,URY
Asia,UZB
America_do_Sul,VEN
Oceania,WLF
Oceania,WSM
Asia,YEM
Africa,ZMB
