Country,Year,Gun_per_100_Value
united-states,2017,120.503
united-states,2007,101.05462
united-kingdom,2017,5.033
afghanistan,2017,12.51
afghanistan,2007,4.42
albania,2017,12.01
algeria,2017,2.11
algeria,2007,7.62
american-samoa,2017,0.71
american-samoa,2002,0.42
andorra,2017,14.101
angola,2017,11.21
angola,2007,17.32
anguilla,NA,NA
antigua-and-barbuda,2017,5.41
antigua-and-barbuda,2012,5.72
argentina,2017,7.41
argentina,2012,8.825
armenia,2017,6.13
armenia,2007,12.52
aruba,2017,NA
australia,2016,13.70133
australia,2012,13.67
australia,2011,13.6
australia,2010,13.681314800000001
australia,2007,13.25
australia,2006,14.24
australia,2005,15.09
australia,1997,13.5813
australia,1996,17.59
australia,1988,21.34
australia,1975,14.92
austria,2017,30.01
austria,2007,30.42
azerbaijan,2017,3.61
azerbaijan,2007,3.52
bahamas,2017,18.81
bahamas,2007,21.72
bahrain,2017,12.81
bahrain,2007,24.82
bangladesh,2017,0.41
bangladesh,2007,0.52
barbados,2017,3.501
barbados,2012,3.523
belarus,2017,6.101
belarus,2007,7.32
belgium,2017,12.701
belgium,2015,6.8610114
belgium,2010,8.18
belgium,2006,18.981
belgium,2005,17.29
belize,2017,10
belize,2012,10.223
benin,2017,0.31
benin,2007,1.42
bermuda,2017,4.601
bhutan,2017,0.81
bhutan,2007,3.52
bolivia,2017,2.01
bolivia,2012,2.524
bosnia-and-herzegovina,2017,31.21
bosnia-and-herzegovina,2011,29.4356
bosnia-and-herzegovina,2007,17.34
botswana,2017,4.101
botswana,2007,4.92
brazil,2017,8.301
brazil,2012,8.623
brunei,2017,1.41
brunei,2007,1.42
bulgaria,2017,8.401
bulgaria,2007,6.22
burkina-faso,2017,0.901
burkina-faso,2007,1.12
burundi,2017,2.01
burundi,2007,1.254
cambodia,2017,4.51
cambodia,2007,4.32
cameroon,2017,2.101
cameroon,2007,2.82
canada,2017,34.701
canada,2011,25.33674
canada,2010,24.83
canada,2009,24.5
canada,2008,24.22
canada,2005,30.85
cabo-verde,2007,5.41
cayman-islands,NA,NA
central-african-republic,2017,1.801
central-african-republic,2007,1.02
chad,2017,1
chad,2007,1.12
chile,2017,12.101
chile,2016,4.799104
chile,2015,4.81
chile,2013,16.03
chile,2010,10.26
chile,2009,12.059
chile,2006,5.03
chile,2005,10.78
chile,2003,4.569104
china,2017,3.601
china,2007,4.92
colombia,2017,10.101
colombia,2012,6.9245
comoros,2017,1.501
comoros,2007,1.82
congo-drc,2017,1.201
congo-drc,2007,1.43
congo-roc,2017,2.402
congo-roc,2007,2.71
cook-islands,2002,2.52
costa-rica,2017,10
costa-rica,2012,8.6234
cote-d-ivoire,2017,4.401
cote-d-ivoire,2007,2.42
croatia,2017,13.701
croatia,2007,21.72
cuba,2017,2.101
cuba,2012,2.023
cyprus,2017,34
cyprus,2007,36.42
czech-republic,2017,12.501
czech-republic,2013,8.33674
czech-republic,2012,8.17
czech-republic,2011,8.02
czech-republic,2010,7.97
czech-republic,2005,16.35
denmark,2017,9.901
denmark,2007,12.02
djibouti,2017,3.101
djibouti,2007,2.82
dominica,2017,6.201
dominican-republic,2017,7.401
dominican-republic,2012,5.923
ecuador,2017,2.401
ecuador,2012,2.524
egypt,2017,4.101
egypt,2007,3.52
el-salvador,2017,12
el-salvador,2012,9.724
equatorial-guinea,2017,12.501
equatorial-guinea,2007,19.92
eritrea,2017,0.401
eritrea,2007,0.52
estonia,2017,5
estonia,2007,9.22
ethiopia,2017,0.401
ethiopia,2007,0.42
faeroe-islands,2017,9.901
falkland-islands,2017,62.101
fiji,2017,0.501
fiji,2007,0.52
finland,2017,32.401
finland,2012,29.003
finland,2009,32.61896
finland,2005,45.77
france,2017,19.601
france,2016,14.965
france,2005,31.24
french-guiana,2017,19.601
french-polynesia,2017,2.501
french-polynesia,2002,0.252
gabon,2017,3.401
gabon,2007,14.02
gambia,2017,6.501
gambia,2007,0.82
georgia,2017,10.101
georgia,2007,7.32
germany,2016,32.078
germany,2013,31.42
germany,2005,30.36
ghana,2017,8
ghana,2016,8.554
ghana,2012,2
gibraltar,2017,4.101
greece,2017,17.601
greece,2007,22.52
greenland,2017,22.301
grenada,2017,4.601
guadeloupe,2017,8.501
guam,2017,11.501
guatemala,2017,12.101
guatemala,2012,11.57634
guinea,2017,1
guinea,2007,1.22
guinea-bissau,2017,1.501
guinea-bissau,2007,1.62
guyana,2017,15.801
guyana,2012,20.424
haiti,2017,2.601
haiti,2012,2.023
honduras,2017,14.101
honduras,2016,11.247
honduras,2012,9.934
hong-kong,2017,3.601
hungary,2017,10.501
hungary,2007,5.52
iceland,2017,31.701
iceland,2007,30.32
india,2017,5.301
india,2007,3.364
indonesia,2017,0.01
indonesia,2007,0.52
iran,2017,7.301
iran,2007,7.32
iraq,2017,19.601
iraq,2007,34.22
ireland,2017,7.201
ireland,2013,3.89674
ireland,2008,5.68
ireland,2007,5.66
ireland,2006,5.65
ireland,2005,5.816745
ireland,2004,5.79674
israel,2017,6.701
israel,2014,4.17674
israel,2005,7.35
italy,2017,12.895
italy,2007,11.903
jamaica,2017,8.801
jamaica,2012,6.623
japan,2017,0.301
japan,2007,0.62
jordan,2017,18.701
jordan,2014,17.164
jordan,2007,11.53
kazakhstan,2017,2.801
kazakhstan,2012,1.323
kenya,2017,1.501
kenya,2007,1.5843
kiribati,2017,0.801
kiribati,2002,0.012
kosovo,2017,23.801
kuwait,2017,16.701
kuwait,2007,24.82
kyrgyzstan,2017,2.801
kyrgyzstan,2007,0.92
laos,2017,3.01
laos,2007,1.22
latvia,2017,10.501
latvia,2005,19.02
latvia,2003,2.85675
lebanon,2017,31.901
lebanon,2007,21.02
lesotho,2017,4.801
lesotho,2007,2.72
liberia,2017,2.101
liberia,2007,1.62
libya,2017,13.301
libya,2007,15.52
liechtenstein,2017,28.801
lithuania,2017,13.601
lithuania,2009,2.96674
lithuania,2008,2.7
lithuania,2007,2.5
lithuania,2006,2.35
lithuania,2005,2.216745
lithuania,2004,2.13674
lithuania,2003,2.05
lithuania,2002,1.96
lithuania,2001,1.88
lithuania,2000,1.78
lithuania,1999,1.71
lithuania,1998,1.64
lithuania,1997,1.48
lithuania,1996,1.41
lithuania,1995,1.36
lithuania,1994,1.28
lithuania,1993,1.1
luxembourg,2017,18.901
luxembourg,2007,15.32
macao,NA,NA
macedonia,2017,29.801
macedonia,2006,12.522
madagascar,2017,0.701
madagascar,2007,0.82
malawi,2017,0.301
malawi,2007,0.72
malaysia,2017,0.5212
malaysia,2005,1.503
maldives,2017,6.201
maldives,2007,6.52
mali,2017,1.101
mali,2007,1.12
malta,2017,28.301
malta,2007,11.92
marshall-islands,2017,0.501
marshall-islands,2002,0.052
martinique,2017,8.501
mauritania,2017,2.801
mauritania,2007,1.62
mauritius,2017,8.301
mauritius,2007,14.72
mayotte,NA,NA
mexico,2017,12.901
mexico,2010,13.523
mexico,2009,2.173896
mexico,2007,13.5
mexico,2006,3.14
mexico,2005,15.073
mexico,2004,1.703896
micronesia-fsm,2017,0.701
micronesia-fsm,2002,0.492
