Country,Year,Homicide_per_100000_Value
united-states,2017,4.4624
united-states,2016,4.46
united-states,2015,4.04
united-states,2014,3.45
united-states,2013,3.55
united-states,2012,3.7
united-states,2011,3.55
united-states,2010,3.59
united-states,2009,3.75
united-states,2008,4.01
united-states,2007,4.19
united-states,2006,4.29
united-states,2005,4.18
united-states,2004,3.97
united-states,2003,4.11
united-states,2002,4.11253736
united-states,2001,3.98
united-states,2000,3.8425
united-states,1999,3.882528
united-states,1998,3.3728
united-states,1993,7.0739
united-kingdom,2015,0.0227
united-kingdom,2014,0.02
united-kingdom,2013,0.04
united-kingdom,2012,0.02
united-kingdom,2011,0.05
united-kingdom,2010,0.04
united-kingdom,2009,0.03
united-kingdom,2008,0.05
united-kingdom,2007,0.04
united-kingdom,2006,0.1
united-kingdom,2005,0.06
united-kingdom,2004,0.06
united-kingdom,2003,0.05
united-kingdom,2002,0.07
united-kingdom,2001,0.06
united-kingdom,2000,0.12
united-kingdom,1999,0.08
united-kingdom,1998,0.06
united-kingdom,1997,0.083
united-kingdom,1996,0.14
afghanistan,NA,NA
albania,2013,1.7018
albania,2011,2.915
albania,2010,2.95
albania,2009,1.91
albania,2008,1.6910516
albania,2007,1.95
albania,2006,1.765
albania,2005,2.91
albania,2004,3.11
albania,2003,4.03
albania,2002,5.711016
albania,2001,5.67
albania,2000,3.561
albania,1999,13.67
albania,1998,17.62
algeria,2008,0.06139
algeria,2007,0.04
algeria,2004,0.03119
algeria,2003,0.04
american-samoa,NA,NA
andorra,2013,0.006
andorra,2010,0.008
andorra,2009,0
andorra,2008,1.21
andorra,2007,0
angola,NA,NA
anguilla,2014,0
anguilla,2013,6.351
anguilla,2012,0
anguilla,2011,0
anguilla,2010,0
anguilla,2006,7.15
antigua-and-barbuda,2014,0
antigua-and-barbuda,2013,0
antigua-and-barbuda,2012,0
antigua-and-barbuda,2011,9.1
antigua-and-barbuda,2010,3.46
argentina,2015,2.9417
argentina,2014,3.01
argentina,2013,2.75
argentina,2012,2.53
argentina,2011,1.99
argentina,2010,2.02
argentina,2009,2.16
argentina,2008,2.08
argentina,2007,1.88
argentina,2006,2.31
argentina,2005,2.47
argentina,2004,3.04932
argentina,2003,4.369
argentina,2002,4.38
argentina,2001,4.29923
argentina,2000,3.359
argentina,1999,2.93
argentina,1998,2.52
argentina,1997,2.61
argentina,1996,2.35
argentina,1995,2.11
argentina,1994,2.07934
argentina,1993,2.219
argentina,1992,2.14
argentina,1991,1.94
argentina,1990,2.5
argentina,1989,3.01
argentina,1988,1.88
argentina,1987,1.74
argentina,1986,2.69
argentina,1985,2.34
argentina,1984,2.06
argentina,1983,1.54
argentina,1982,1.35
argentina,1981,1.5
argentina,1980,1.24
armenia,2016,0.138
armenia,2015,0.56
armenia,2014,0.1
armenia,2013,0.23
armenia,2012,0.36
armenia,2011,0.26
armenia,2010,0.33
armenia,2009,0.39
armenia,2008,0.68
armenia,2007,0.45
armenia,2006,0.52
armenia,2005,0.23
armenia,2004,0.613
aruba,2015,1.783
aruba,2014,0.9
aruba,2013,2.75
aruba,2012,1.86
aruba,2011,0
aruba,2010,1.91
aruba,2009,0.97
aruba,2007,2
australia,2016,0.1853
australia,2015,0.1243
australia,2014,0.15
australia,2013,0.18
australia,2012,0.19
australia,2011,0.15
australia,2010,0.16
australia,2009,0.17
australia,2008,0.13
australia,2007,0.13
australia,2006,0.2
australia,2005,0.09
australia,2004,0.09
australia,2003,0.27535948
australia,2002,0.23
australia,2001,0.24
australia,2000,0.305948
australia,1999,0.26
australia,1998,0.3
australia,1997,0.43
australia,1996,0.57
australia,1995,0.37
australia,1994,0.4359
australia,1993,0.36
australia,1992,0.55
australia,1991,0.49
australia,1990,0.46
australia,1989,0.48
australia,1988,0.74
austria,2016,0.1811
austria,2015,0.1
austria,2014,0.12
austria,2013,0.15
austria,2012,0.06
austria,2011,0.09
austria,2010,0.18
austria,2009,0.24
austria,2008,0.17
austria,2007,0.16
austria,2006,0.1212718
austria,2005,0.16
austria,2004,0.1612
austria,2003,0.2
austria,2002,0.161218
austria,2001,0.19
austria,2000,0.3112
austria,1999,0.21
azerbaijan,2010,0.275
azerbaijan,2008,0.13519
azerbaijan,2007,0.039
azerbaijan,2006,0.21519
azerbaijan,2005,0.19
azerbaijan,2004,0.219
azerbaijan,2003,0.2
azerbaijan,2002,1.4716
azerbaijan,2001,1.73
azerbaijan,2000,0.2217
azerbaijan,1999,0.18
azerbaijan,1998,0.15
azerbaijan,1997,2.2218
azerbaijan,1996,3.31
azerbaijan,1995,5.11
bahamas,2014,32.636
bahamas,2013,34.481
bahamas,2012,31.94
bahamas,2011,33.19
bahamas,2010,24.48
bahamas,2009,17.88
bahamas,2008,16.08
bahamas,2007,17.55
bahamas,2006,11.03
bahamas,2005,12.13
bahamas,2000,11.7812
bahamas,1997,6.2318
bahamas,1996,4.58
bahamas,1995,6.47
bahrain,2014,0.156
bahrain,2013,0
bahrain,2012,0.08
bahrain,2011,0.07
bahrain,2010,0
bahrain,2008,0.001311
bahrain,2007,0.09
bangladesh,2000,1.114
barbados,2013,0
barbados,2012,0
barbados,2011,1.401
barbados,2010,2.45
barbados,2009,2.46
barbados,2008,5.64
barbados,2007,3.19
barbados,2006,5.5
barbados,2005,2.7
barbados,2004,3.6
barbados,2000,3.0162
barbados,1999,3.416
barbados,1998,2.6
belarus,2013,0.1015
belarus,2009,0.14511
belarus,2008,0.16
belarus,2007,0.2
belarus,2006,0.07
belarus,2005,0.08
belarus,2004,0.411
belarus,2003,0.4
belarus,2002,0.4
belarus,2001,0.5
belarus,1997,0.6
belarus,1996,0.6
belarus,1995,0.8
belgium,2015,0.2524
belgium,2014,0.26
belgium,2013,0.14
belgium,2012,0.23
belgium,2011,0.31
belgium,2010,0.33
belgium,2009,0.31
belgium,2008,0.27
belgium,2007,0.33
belgium,2006,0.29
belgium,2005,0.44
belgium,2004,0.57102534
belgium,2003,0.511
belgium,1999,0.6825
belgium,1998,0.72
belgium,1997,0.77
belgium,1996,0.74
belgium,1995,0.582534
belgium,1994,0.7525
belgium,1993,0.94
belgium,1990,0.6038
belize,2015,20.5711
belize,2014,17.36
belize,2013,19.16
belize,2012,25.71
belize,2011,25.4
belize,2010,22.02
belize,2009,13.79
belize,2008,0.32
belize,2007,0.33
belize,2006,12.857182421
belize,2005,14.58
belize,2004,13.1182421
belize,2000,7.8113
benin,NA,NA
bermuda,2015,0
bermuda,2014,2.863
bermuda,2013,4.32
bermuda,2012,4.34
bermuda,2011,4.37
bermuda,2010,8.79
bermuda,2004,0.06
bermuda,2003,1.6
bhutan,NA,NA
bolivia,2010,0.748
bolivia,2006,0.13818
bolivia,2005,0.14
bolivia,2002,0.5919
bolivia,2001,0.58
bosnia-and-herzegovina,2014,0.4119
bosnia-and-herzegovina,2013,0.5025
bosnia-and-herzegovina,2011,0
bosnia-and-herzegovina,2010,0.67
bosnia-and-herzegovina,2009,0.9
bosnia-and-herzegovina,2006,0.521
bosnia-and-herzegovina,2005,0.5
botswana,2001,2.988
brazil,2015,20.4731
brazil,2014,21.1
brazil,2013,20.08
brazil,2012,20.11
brazil,2011,18.59
brazil,2010,18.79
brazil,2009,18.88
brazil,2008,18.27
brazil,2007,17.96
brazil,2006,18.7
brazil,2005,18.135444239
brazil,2004,19.1
brazil,2003,20.4354442
brazil,2002,19.635444245
brazil,2001,19.4354442
brazil,2000,18.235444212
brazil,1999,16.435
brazil,1998,15.9
brazil,1997,15.3
brazil,1996,14.6
brazil,1995,14.3
brazil,1994,12.3
brazil,1993,11.23546
brazil,1992,9.935
brazil,1991,10.7
brazil,1990,11.5
brazil,1989,9.5
brazil,1988,7.7
brazil,1987,7.8
brazil,1986,6.6
brazil,1985,6.3
brazil,1984,6.2
brazil,1983,5.1
brazil,1982,5.1
brazil,1981,5.3
brazil,1980,5.1
brunei,2014,0
brunei,2013,0
brunei,2012,0
brunei,2011,0
brunei,2006,0.008
brunei,2005,0
bulgaria,2014,0.1712
bulgaria,2013,0.34
bulgaria,2012,0.34
bulgaria,2011,0.23
bulgaria,2010,0.42
bulgaria,2009,0.63
bulgaria,2008,0.38
bulgaria,2007,0.44
bulgaria,2006,0.35
bulgaria,2005,0.63
bulgaria,2004,0.761321
bulgaria,2003,0.95
bulgaria,2002,0.8313
bulgaria,2001,0.92
bulgaria,2000,0.861321
bulgaria,1999,0.62
bulgaria,1998,1.07
bulgaria,1997,0.521
bulgaria,1996,0.5
bulgaria,1995,0.5
burkina-faso,1995,0.039
burundi,NA,NA
cambodia,2003,1.48
cambodia,2002,1.1
cambodia,2001,1.2
cambodia,2000,2
cambodia,1999,2.3
cambodia,1998,3.9
cameroon,NA,NA
canada,2017,0.7539
canada,2016,0.63
canada,2015,0.51
canada,2014,0.44
canada,2013,0.3425
canada,2012,0.47
canada,2011,0.41
canada,2010,0.51
canada,2009,0.53
canada,2008,0.59
canada,2007,0.51
canada,2006,0.59
canada,2005,0.69
canada,2004,0.54
canada,2003,0.51
canada,2002,0.48
canada,2001,0.55
canada,2000,0.59
canada,1999,0.54
canada,1998,0.5
canada,1997,0.64
canada,1996,0.71
canada,1995,0.59
canada,1994,0.67
canada,1993,0.67
canada,1992,0.87
canada,1991,0.96
canada,1990,0.7
canada,1989,0.79
canada,1988,0.63
canada,1987,0.76
canada,1986,0.67
canada,1985,0.86
canada,1984,0.89
canada,1983,0.88
canada,1982,0.99
canada,1981,0.8
canada,1980,0.79
