Country,ABV,Continente,HomMed,PIB_PORCENTO,US_Dollar,Population,Inv_per_cap
Albania,ALB,Europa,2.3692,3.5,36010000000,3057220,412.25361603024976
Andorra,AND,Europa,0.004666666666666667,3.3,3327000000,85708,1280.988939188874
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,2.5,2398000000,95882,625.2477002982833
Argentina,ARG,America_do_Sul,2.485957142857143,5.9,922100000000,44694198,1217.2474825479585
Armenia,ARM,Asia,0.29600000000000004,2.8,28340000000,3038217,261.17950100338453
Australia,AUS,Oceania,0.1637,5.2,1248000000000,23470145,2765.044698275192
Austria,AUT,Europa,0.1401375,5.4,441000000000,8793370,2708.1767286034824
Azerbaijan,AZE,Asia,0.275,3,172200000000,10046516,514.2081095575819
Bahrain,BHR,Asia,0.061200000000000004,2.7,71170000000,1442659,1331.9779656869712
Barbados,BRB,America_do_Norte,1.2622,5.1,5218000000,293131,907.846662413733
Belarus,BLR,Europa,0.123305,5,179400000000,9527543,941.4809253550469
Belgium,BEL,Europa,0.2617714285714286,6.6,529200000000,11570762,3018.5738847623
Belize,BLZ,America_do_Norte,20.573014285714287,7.4,3218000000,385854,617.1557117458937
Bermuda,BMU,America_do_Norte,4.113833333333333,1.5,6127000000,71176,1291.235809823536
Bolivia,BOL,America_do_Sul,0.748,7.3,83720000000,11306341,540.5426919283613
Brazil,BRA,America_do_Sul,19.717585714285715,5.9,3248000000000,208846892,917.5717108588813
Brunei,BRN,Asia,0,4.4,33870000000,450565,3307.5804822833556
Bulgaria,BGR,Europa,0.3552,4.1,153500000000,7057504,891.745863693453
Canada,CAN,America_do_Norte,0.5107111111111111,5.3,1774000000000,35881659,2620.3359214801076
Chile,CHL,America_do_Sul,1.6417714285714287,4.9,452100000000,17925262,1235.8480450662312
Colombia,COL,America_do_Sul,26.9846,4.5,711600000000,48168996,664.7844601120605
Congo-Drc,COD,Africa,1.3555000000000001,2.3,68600000000,85281024,18.501184976390526
Costa-Rica,CRI,America_do_Norte,6.083616666666667,7.1,83940000000,4987142,1195.0211163026838
Croatia,HRV,Europa,0.36265000000000003,4.6,102100000000,4270480,1099.7826942170436
Cuba,CUB,America_do_Norte,0.2187714285714286,12.8,137000000000,11116396,1577.4896828072694
Cyprus,CYP,Asia,0.466375,6.1,31780000000,1237088,1567.0510101140744
Czech-Republic,CZE,Europa,0.1352625,4,375900000000,10686269,1407.0392575743695
Denmark,DNK,Europa,0.14444285714285715,7.6,287800000000,5809502,3765.0042981308898
Dominica,DMA,America_do_Norte,3.3232857142857144,3.4,783000000,74027,359.62554203196134
Ecuador,ECU,America_do_Sul,6.795957142857143,5,193000000000,16498502,584.9015868228522
Egypt,EGY,Africa,0.11957142857142856,3.8,1204000000000,99413317,460.22003269441257
El-Salvador,SLV,America_do_Norte,39.16866666666667,3.5,51170000000,6187271,289.45717748584156
Estonia,EST,Europa,0.34851666666666664,5.5,41650000000,1244288,1841.0126915955148
Fiji,FJI,Oceania,0,3.9,8629000000,926276,363.3161174423174
Finland,FIN,Europa,0.28034285714285717,7.2,244900000000,5537364,3184.331028265435
France,FRA,Europa,0.1936,5.5,2856000000000,67364357,2331.7969174707628
Georgia,GEO,Asia,5.197555555555556,3.8,39850000000,4926087,307.4042338269706
Germany,DEU,Europa,0.06882857142857143,4.9,4199000000000,80457737,2557.255618561581
Grenada,GRD,America_do_Norte,0.2636671428571429,10.3,1634000000,112207,1499.924247150356
Guatemala,GTM,America_do_Norte,25.575985714285714,2.8,138100000000,16581273,233.20284274916645
Guyana,GUY,America_do_Sul,4.6583,3.2,6301000000,740685,272.22368483228365
Honduras,HND,America_do_Norte,53.2672,5.9,46300000000,9182766,297.48117288407434
Hong-Kong,HKG,Asia,0.00824,3.3,455900000000,7213338,2085.677948267501
Hungary,HUN,Europa,0.0776375,4.6,289600000000,9825704,1355.7908929477217
Iceland,ISL,Europa,0.039177125,7.8,18180000000,343518,4127.993292927881
India,IND,Asia,0.25409000000000004,3.8,9474000000000,1296834042,277.60838190581677
Iran,IRN,Asia,0.48200000000000004,3.4,1640000000000,83024745,671.6070010212017
Ireland,IRL,Europa,0.3053666666666667,4.9,353300000000,5068050,3415.8502777202275
Israel,ISR,Asia,0.8773857142857143,5.7,317100000000,8424904,2145.3894311436666
Italy,ITA,Europa,0.3159142857142857,4.1,2317000000000,62246674,1526.1377660114015
Jamaica,JAM,America_do_Norte,25.892116666666666,5.4,26060000000,2812090,500.4249508372777
Japan,JPN,Asia,0.004285714285714286,3.6,5443000000000,126168156,1553.0701740619877
Jordan,JOR,Asia,1.21725,3.9,89000000000,10458413,331.88591806424165
Kazakhstan,KAZ,Asia,0.4828142857142857,3,478600000000,18744548,765.9827273509076
Kyrgyzstan,KGZ,Asia,0.3412857142857143,6,23150000000,5849296,237.464474357256
Latvia,LVA,Europa,0.2730571428571429,5.3,54020000000,1923559,1488.4180833548646
Liberia,LBR,Africa,0.445,2.8,6112000000,4809768,35.58092614862088
Liechtenstein,LIE,Europa,0.0026666666666666666,2.6,4978000000,38547,3357.667263340857
Lithuania,LTU,Europa,0.2451875,4.5,91470000000,2793284,1473.5880776892002
Luxembourg,LUX,Europa,0.08344285714285715,4,62110000000,605764,4101.267160148176
Malaysia,MYS,Asia,0.04123333333333334,4.8,933300000000,31809660,1408.3269044686426
Maldives,MDV,Asia,0,4.3,6901000000,392473,756.0851319708617
Malta,MLT,Europa,0.3361657142857143,7.2,19260000000,449043,3088.167502889479
Mauritius,MUS,Africa,0.098,5.1,28270000000,1364283,1056.7968669257039
Mexico,MEX,America_do_Norte,11.3781,5.3,2463000000000,125959205,1036.3593514265194
Moldova,MDA,Europa,0.29512499999999997,6.7,23720000000,3437720,462.2947767706503
Mongolia,MNG,Asia,0.251525,5.2,39730000000,3103428,665.7025714790226
Montserrat,MSR,America_do_Norte,36.42857142857143,5.1,167400000,5315,1606.2841015992474
Morocco,MAR,Africa,0.029333333333333333,5.3,298600000000,34314130,461.2035916399454
Namibia,NAM,Africa,2.48375,8.3,26600000000,2533224,871.5376137285925
Netherlands,NLD,Europa,0.22265,5.5,924400000000,17151228,2964.335848138687
New-Zealand,NZL,Oceania,0.16821428571428573,6.3,189000000000,4545627,2619.440618422937
Nicaragua,NIC,America_do_Norte,3.345957142857143,4.5,36400000000,6085213,269.17710193546225
Norway,NOR,Europa,0.28314285714285714,7.7,381200000000,5372191,5463.767017963434
Oman,OMN,Asia,0,6.2,190100000000,3494116,3373.15647219497
Palestine,PSE,Asia,2.03075,5.7,21220000000,2798494,432.21103922323937
Panama,PAN,America_do_Norte,15.201657142857142,3.2,104100000000,3800644,876.4830381377471
Paraguay,PRY,America_do_Sul,5.18525,5,88910000000,7025763,632.7426643910419
Peru,PER,America_do_Sul,0.4888142857142857,3.8,430300000000,31331228,521.888257938693
