Country,ABV,Continente,HomMed,Distribuicao_Renda
Albania,ALB,Europa,2.3692,29
Argentina,ARG,America_do_Sul,2.485957142857143,41.7
Armenia,ARM,Asia,0.29600000000000004,31.5
Australia,AUS,Oceania,0.1637,30.3
Austria,AUT,Europa,0.1401375,30.5
Azerbaijan,AZE,Asia,0.275,33.7
Belarus,BLR,Europa,0.123305,26.5
Belgium,BEL,Europa,0.2617714285714286,25.9
Bolivia,BOL,America_do_Sul,0.748,47
Bosnia-And-Herzegovina,BIH,Europa,0.49688,33.8
Brazil,BRA,America_do_Sul,19.717585714285715,49
Bulgaria,BGR,Europa,0.3552,40.2
Canada,CAN,America_do_Norte,0.5107111111111111,32.1
Chile,CHL,America_do_Sul,1.6417714285714287,50.5
Colombia,COL,America_do_Sul,26.9846,51.1
Congo-Drc,COD,Africa,1.3555000000000001,42.1
Costa-Rica,CRI,America_do_Norte,6.083616666666667,48.5
Croatia,HRV,Europa,0.36265000000000003,30.8
Cyprus,CYP,Asia,0.466375,34.8
Czech-Republic,CZE,Europa,0.1352625,25
Denmark,DNK,Europa,0.14444285714285715,29
Dominican-Republic,DOM,America_do_Norte,8.24834,47.1
Ecuador,ECU,America_do_Sul,6.795957142857143,45.9
Egypt,EGY,Africa,0.11957142857142856,31.8
El-Salvador,SLV,America_do_Norte,39.16866666666667,36
Estonia,EST,Europa,0.34851666666666664,34.8
Finland,FIN,Europa,0.28034285714285717,27.2
France,FRA,Europa,0.1936,29.3
Georgia,GEO,Asia,5.197555555555556,40.1
Germany,DEU,Europa,0.06882857142857143,27
Greece,GRC,Europa,0.46208571428571427,36.7
Guatemala,GTM,America_do_Norte,25.575985714285714,53
Guyana,GUY,America_do_Sul,4.6583,44.6
Honduras,HND,America_do_Norte,53.2672,47.1
Hong-Kong,HKG,Asia,0.00824,53.9
Hungary,HUN,Europa,0.0776375,28.2
Iceland,ISL,Europa,0.039177125,28
India,IND,Asia,0.25409000000000004,35.2
Iran,IRN,Asia,0.48200000000000004,44.5
Ireland,IRL,Europa,0.3053666666666667,31.3
Israel,ISR,Asia,0.8773857142857143,42.8
Italy,ITA,Europa,0.3159142857142857,31.9
Jamaica,JAM,America_do_Norte,25.892116666666666,35
Japan,JPN,Asia,0.004285714285714286,37.9
Jordan,JOR,Asia,1.21725,39.7
Kazakhstan,KAZ,Asia,0.4828142857142857,26.3
Kyrgyzstan,KGZ,Asia,0.3412857142857143,33.4
Latvia,LVA,Europa,0.2730571428571429,34.5
Liberia,LBR,Africa,0.445,32
Lithuania,LTU,Europa,0.2451875,37.9
Luxembourg,LUX,Europa,0.08344285714285715,30.4
Macedonia,MKD,Europa,0.73232,33.7
Malaysia,MYS,Asia,0.04123333333333334,46.2
Maldives,MDV,Asia,0,38.4
Malta,MLT,Europa,0.3361657142857143,28.1
Mauritius,MUS,Africa,0.098,35.9
Mexico,MEX,America_do_Norte,11.3781,48.2
Moldova,MDA,Europa,0.29512499999999997,26.8
Mongolia,MNG,Asia,0.251525,34
Montenegro,MNE,Europa,1.910670425,31.9
Morocco,MAR,Africa,0.029333333333333333,40.9
Namibia,NAM,Africa,2.48375,59.7
Netherlands,NLD,Europa,0.22265,30.3
New-Zealand,NZL,Oceania,0.16821428571428573,36.2
Nicaragua,NIC,America_do_Norte,3.345957142857143,47.1
Norway,NOR,Europa,0.28314285714285714,26.8
Palestine,PSE,Asia,2.03075,34.5
Panama,PAN,America_do_Norte,15.201657142857142,50.7
Paraguay,PRY,America_do_Sul,5.18525,51.7
Peru,PER,America_do_Sul,0.4888142857142857,45.3
Philippines,PHL,Asia,7.470433333333333,44.4
Poland,POL,Europa,0.041671428571428575,30.8
Portugal,PRT,Europa,0.2853,33.9
Qatar,QAT,Asia,0.0752,41.1
Romania,ROU,Europa,0.0351375,27.3
Russia,RUS,Asia,0.9014,41.2
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,30.8
Saudi-Arabia,SAU,Asia,0.035,45.9
Serbia,SRB,Europa,0.7431428571428571,38.7
Singapore,SGP,Asia,7.142857142857143e-4,45.9
Slovakia,SVK,Europa,0.18293333333333334,23.7
Slovenia,SVN,Europa,0.25871428571428573,24.4
South-Africa,ZAF,Africa,11.9525,62.5
South-Korea,KOR,Asia,0.020142857142857143,35.7
South-Sudan,SSD,Africa,1.993,46
Spain,ESP,Europa,0.1273,35.9
Sweden,SWE,Europa,0.2340125,24.9
Switzerland,CHE,Europa,0.18586666666666668,29.5
Tajikistan,TJK,Asia,0.21270666666666666,32.6
Thailand,THA,Asia,2.587625,44.5
Tunisia,TUN,Africa,0.0345,40
Turkey,TUR,Europa,0.777,40.2
Uganda,UGA,Africa,1.54006,39.5
Ukraine,UKR,Europa,0.22356,25.5
United-Kingdom,GBR,Europa,0.03181428571428571,32.4
United-States,USA,America_do_Norte,3.8391555555555557,45
Uruguay,URY,America_do_Sul,3.5788285714285712,41.6
Uzbekistan,UZB,Asia,0.046,36.8
Venezuela,VEN,America_do_Sul,28.57428,39
Zambia,ZMB,Africa,0.305,57.5
