Country,ABV,Continente,HomMed,IDH
Albania,ALB,Europa,2.3692,0.7849999999999999
Andorra,AND,Europa,0.004666666666666667,0.8580000000000001
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,0.7799999999999999
Argentina,ARG,America_do_Sul,2.485957142857143,0.8250000000000001
Armenia,ARM,Asia,0.29600000000000004,0.755
Australia,AUS,Oceania,0.1637,0.9390000000000001
Austria,AUT,Europa,0.1401375,0.908
Azerbaijan,AZE,Asia,0.275,0.757
Bahamas,BHS,America_do_Norte,29.101166666666668,0.807
Bahrain,BHR,Asia,0.061200000000000004,0.8460000000000001
Barbados,BRB,America_do_Norte,1.2622,0.8
Belarus,BLR,Europa,0.123305,0.808
Belgium,BEL,Europa,0.2617714285714286,0.916
Belize,BLZ,America_do_Norte,20.573014285714287,0.708
Bolivia,BOL,America_do_Sul,0.748,0.693
Bosnia-And-Herzegovina,BIH,Europa,0.49688,0.768
Brazil,BRA,America_do_Sul,19.717585714285715,0.759
Brunei,BRN,Asia,0,0.8530000000000001
Bulgaria,BGR,Europa,0.3552,0.8130000000000001
Canada,CAN,America_do_Norte,0.5107111111111111,0.926
Chile,CHL,America_do_Sul,1.6417714285714287,0.8430000000000001
Colombia,COL,America_do_Sul,26.9846,0.747
Congo-Drc,COD,Africa,1.3555000000000001,0.457
Costa-Rica,CRI,America_do_Norte,6.083616666666667,0.7939999999999999
Croatia,HRV,Europa,0.36265000000000003,0.8310000000000001
Cuba,CUB,America_do_Norte,0.2187714285714286,0.777
Cyprus,CYP,Asia,0.466375,0.8690000000000001
Czech-Republic,CZE,Europa,0.1352625,0.888
Denmark,DNK,Europa,0.14444285714285715,0.929
Dominica,DMA,America_do_Norte,3.3232857142857144,0.715
Dominican-Republic,DOM,America_do_Norte,8.24834,0.736
Ecuador,ECU,America_do_Sul,6.795957142857143,0.752
Egypt,EGY,Africa,0.11957142857142856,0.696
El-Salvador,SLV,America_do_Norte,39.16866666666667,0.6739999999999999
Estonia,EST,Europa,0.34851666666666664,0.8710000000000001
Fiji,FJI,Oceania,0,0.741
Finland,FIN,Europa,0.28034285714285717,0.92
France,FRA,Europa,0.1936,0.901
Georgia,GEO,Asia,5.197555555555556,0.7799999999999999
Germany,DEU,Europa,0.06882857142857143,0.936
