Country,ABV,Continente,HomMed,Media_Estudo_Aanos
Albania,ALB,Europa,2.3692,10
Andorra,AND,Europa,0.004666666666666667,10.2
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,9.2
Argentina,ARG,America_do_Sul,2.485957142857143,9.9
Armenia,ARM,Asia,0.29600000000000004,11.7
Australia,AUS,Oceania,0.1637,12.9
Austria,AUT,Europa,0.1401375,12.1
Azerbaijan,AZE,Asia,0.275,10.7
Bahamas,BHS,America_do_Norte,29.101166666666668,11.1
Bahrain,BHR,Asia,0.061200000000000004,9.4
Barbados,BRB,America_do_Norte,1.2622,10.6
Belarus,BLR,Europa,0.123305,12.3
Belgium,BEL,Europa,0.2617714285714286,11.8
Belize,BLZ,America_do_Norte,20.573014285714287,10.5
Bolivia,BOL,America_do_Sul,0.748,8.9
Bosnia-And-Herzegovina,BIH,Europa,0.49688,9.7
Brazil,BRA,America_do_Sul,19.717585714285715,7.8
Brunei,BRN,Asia,0,9.1
Bulgaria,BGR,Europa,0.3552,11.8
Canada,CAN,America_do_Norte,0.5107111111111111,13.3
Chile,CHL,America_do_Sul,1.6417714285714287,10.3
Colombia,COL,America_do_Sul,26.9846,8.3
Congo-Drc,COD,Africa,1.3555000000000001,6.8
Costa-Rica,CRI,America_do_Norte,6.083616666666667,8.8
Croatia,HRV,Europa,0.36265000000000003,11.3
Cuba,CUB,America_do_Norte,0.2187714285714286,11.8
Cyprus,CYP,Asia,0.466375,12.1
Czech-Republic,CZE,Europa,0.1352625,12.7
Denmark,DNK,Europa,0.14444285714285715,12.6
Dominica,DMA,America_do_Norte,3.3232857142857144,7.8
Dominican-Republic,DOM,America_do_Norte,8.24834,7.8
Ecuador,ECU,America_do_Sul,6.795957142857143,8.7
Egypt,EGY,Africa,0.11957142857142856,7.2
El-Salvador,SLV,America_do_Norte,39.16866666666667,6.9
Estonia,EST,Europa,0.34851666666666664,12.7
Fiji,FJI,Oceania,0,10.8
Finland,FIN,Europa,0.28034285714285717,12.4
France,FRA,Europa,0.1936,11.5
Georgia,GEO,Asia,5.197555555555556,12.8
Germany,DEU,Europa,0.06882857142857143,14.1
Greece,GRC,Europa,0.46208571428571427,10.8
Grenada,GRD,America_do_Norte,0.2636671428571429,8.7
Guatemala,GTM,America_do_Norte,25.575985714285714,6.5
Guyana,GUY,America_do_Sul,4.6583,8.4
Honduras,HND,America_do_Norte,53.2672,6.5
Hong-Kong,HKG,Asia,0.00824,12
Hungary,HUN,Europa,0.0776375,11.9
Iceland,ISL,Europa,0.039177125,12.4
India,IND,Asia,0.25409000000000004,6.4
Iran,IRN,Asia,0.48200000000000004,9.8
Ireland,IRL,Europa,0.3053666666666667,12.5
Israel,ISR,Asia,0.8773857142857143,13
Italy,ITA,Europa,0.3159142857142857,10.2
Jamaica,JAM,America_do_Norte,25.892116666666666,9.8
Japan,JPN,Asia,0.004285714285714286,12.8
Jordan,JOR,Asia,1.21725,10.4
Kazakhstan,KAZ,Asia,0.4828142857142857,11.8
Kuwait,KWT,Asia,0.24783333333333332,7.3
Kyrgyzstan,KGZ,Asia,0.3412857142857143,10.9
Latvia,LVA,Europa,0.2730571428571429,12.8
Liberia,LBR,Africa,0.445,4.7
Liechtenstein,LIE,Europa,0.0026666666666666666,12.5
Lithuania,LTU,Europa,0.2451875,13
Luxembourg,LUX,Europa,0.08344285714285715,12.1
Macedonia,MKD,Europa,0.73232,9.6
Malaysia,MYS,Asia,0.04123333333333334,10.2
Maldives,MDV,Asia,0,6.3
Malta,MLT,Europa,0.3361657142857143,11.3
Mauritius,MUS,Africa,0.098,9.3
Mexico,MEX,America_do_Norte,11.3781,8.6
Moldova,MDA,Europa,0.29512499999999997,11.6
Mongolia,MNG,Asia,0.251525,10.1
Montenegro,MNE,Europa,1.910670425,11.3
Morocco,MAR,Africa,0.029333333333333333,5.5
Namibia,NAM,Africa,2.48375,6.8
Netherlands,NLD,Europa,0.22265,12.2
New-Zealand,NZL,Oceania,0.16821428571428573,12.5
Nicaragua,NIC,America_do_Norte,3.345957142857143,6.7
Norway,NOR,Europa,0.28314285714285714,12.6
Oman,OMN,Asia,0,9.5
Palestine,PSE,Asia,2.03075,9.1
Panama,PAN,America_do_Norte,15.201657142857142,10.2
Paraguay,PRY,America_do_Sul,5.18525,8.4
Peru,PER,America_do_Sul,0.4888142857142857,9.2
Philippines,PHL,Asia,7.470433333333333,9.3
Poland,POL,Europa,0.041671428571428575,12.3
Portugal,PRT,Europa,0.2853,9.2
Qatar,QAT,Asia,0.0752,9.8
Romania,ROU,Europa,0.0351375,11
Russia,RUS,Asia,0.9014,12
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,6.3
Saudi-Arabia,SAU,Asia,0.035,9.5
Serbia,SRB,Europa,0.7431428571428571,11.1
Singapore,SGP,Asia,7.142857142857143e-4,11.5
Slovakia,SVK,Europa,0.18293333333333334,12.5
Slovenia,SVN,Europa,0.25871428571428573,12.2
South-Africa,ZAF,Africa,11.9525,10.1
South-Korea,KOR,Asia,0.020142857142857143,12.1
South-Sudan,SSD,Africa,1.993,4.8
Spain,ESP,Europa,0.1273,9.8
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,8.4
St-Lucia,LCA,America_do_Norte,12.572,8.9
Suriname,SUR,America_do_Sul,1.3685666666666667,8.5
Sweden,SWE,Europa,0.2340125,12.4
Switzerland,CHE,Europa,0.18586666666666668,13.4
Syria,SYR,Asia,0.616,5.1
Tajikistan,TJK,Asia,0.21270666666666666,10.4
Thailand,THA,Asia,2.587625,7.6
Tonga,TON,Oceania,0.001,11.2
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,10.9
Tunisia,TUN,Africa,0.0345,7.2
Turkey,TUR,Europa,0.777,8
Uganda,UGA,Africa,1.54006,6.1
Ukraine,UKR,Europa,0.22356,11.3
United-Kingdom,GBR,Europa,0.03181428571428571,12.9
United-States,USA,America_do_Norte,3.8391555555555557,13.4
Uruguay,URY,America_do_Sul,3.5788285714285712,8.7
Uzbekistan,UZB,Asia,0.046,11.5
Venezuela,VEN,America_do_Sul,28.57428,10.3
Zambia,ZMB,Africa,0.305,7
