Country,ABV,Continente,HomMed,Desempregados_Jovens_Per
Albania,ALB,Europa,2.3692,39.8
Argentina,ARG,America_do_Sul,2.485957142857143,18.3
Armenia,ARM,Asia,0.29600000000000004,36.3
Australia,AUS,Oceania,0.1637,12.6
Austria,AUT,Europa,0.1401375,11.3
Azerbaijan,AZE,Asia,0.275,13.4
Bahamas,BHS,America_do_Norte,29.101166666666668,30.8
Bahrain,BHR,Asia,0.061200000000000004,5.3
Barbados,BRB,America_do_Norte,1.2622,29.6
Belarus,BLR,Europa,0.123305,10.7
Belgium,BEL,Europa,0.2617714285714286,20.1
Belize,BLZ,America_do_Norte,20.573014285714287,17.7
Bermuda,BMU,America_do_Norte,4.113833333333333,29.3
Bolivia,BOL,America_do_Sul,0.748,6.9
Bosnia-And-Herzegovina,BIH,Europa,0.49688,62.3
Brazil,BRA,America_do_Sul,19.717585714285715,30.2
Brunei,BRN,Asia,0,25.4
Bulgaria,BGR,Europa,0.3552,17.2
Canada,CAN,America_do_Norte,0.5107111111111111,11.6
Chile,CHL,America_do_Sul,1.6417714285714287,17.2
Colombia,COL,America_do_Sul,26.9846,17.5
Congo-Drc,COD,Africa,1.3555000000000001,8.7
Costa-Rica,CRI,America_do_Norte,6.083616666666667,20.6
Croatia,HRV,Europa,0.36265000000000003,31.3
Cuba,CUB,America_do_Norte,0.2187714285714286,6.1
Cyprus,CYP,Asia,0.466375,29.1
Czech-Republic,CZE,Europa,0.1352625,10.5
Denmark,DNK,Europa,0.14444285714285715,12
Dominican-Republic,DOM,America_do_Norte,8.24834,13.4
Ecuador,ECU,America_do_Sul,6.795957142857143,8.4
Egypt,EGY,Africa,0.11957142857142856,30.8
El-Salvador,SLV,America_do_Norte,39.16866666666667,9.8
Estonia,EST,Europa,0.34851666666666664,13.4
Fiji,FJI,Oceania,0,15.4
Finland,FIN,Europa,0.28034285714285717,20.1
France,FRA,Europa,0.1936,24.6
Georgia,GEO,Asia,5.197555555555556,30.5
Germany,DEU,Europa,0.06882857142857143,7.1
Greece,GRC,Europa,0.46208571428571427,47.3
Guam,GUM,Oceania,2.036,29.4
Guatemala,GTM,America_do_Norte,25.575985714285714,6.1
Guyana,GUY,America_do_Sul,4.6583,21.6
Honduras,HND,America_do_Norte,53.2672,8.5
Hong-Kong,HKG,Asia,0.00824,9.8
Hungary,HUN,Europa,0.0776375,12.9
Iceland,ISL,Europa,0.039177125,6.5
India,IND,Asia,0.25409000000000004,10.1
Iran,IRN,Asia,0.48200000000000004,29.2
Ireland,IRL,Europa,0.3053666666666667,17.2
Israel,ISR,Asia,0.8773857142857143,7.3
Italy,ITA,Europa,0.3159142857142857,37.8
Jamaica,JAM,America_do_Norte,25.892116666666666,28.3
Japan,JPN,Asia,0.004285714285714286,5.1
Jordan,JOR,Asia,1.21725,29.3
Kazakhstan,KAZ,Asia,0.4828142857142857,3.9
Kuwait,KWT,Asia,0.24783333333333332,14.6
Kyrgyzstan,KGZ,Asia,0.3412857142857143,15.5
Latvia,LVA,Europa,0.2730571428571429,17.3
Liberia,LBR,Africa,0.445,3.3
Lithuania,LTU,Europa,0.2451875,14.4
Luxembourg,LUX,Europa,0.08344285714285715,18.9
Macedonia,MKD,Europa,0.73232,48.2
Malaysia,MYS,Asia,0.04123333333333334,10.5
Maldives,MDV,Asia,0,12.4
Malta,MLT,Europa,0.3361657142857143,11
Mauritius,MUS,Africa,0.098,23.9
Mexico,MEX,America_do_Norte,11.3781,6.9
Moldova,MDA,Europa,0.29512499999999997,11.2
Mongolia,MNG,Asia,0.251525,20.8
Montenegro,MNE,Europa,1.910670425,37.7
Morocco,MAR,Africa,0.029333333333333333,19.9
Namibia,NAM,Africa,2.48375,44.9
Netherlands,NLD,Europa,0.22265,10.8
New-Zealand,NZL,Oceania,0.16821428571428573,12.7
Nicaragua,NIC,America_do_Norte,3.345957142857143,8.5
Norway,NOR,Europa,0.28314285714285714,10.4
Palestine,PSE,Asia,2.03075,40.7
Panama,PAN,America_do_Norte,15.201657142857142,11.5
Paraguay,PRY,America_do_Sul,5.18525,20.8
Peru,PER,America_do_Sul,0.4888142857142857,15.2
Philippines,PHL,Asia,7.470433333333333,7.7
Poland,POL,Europa,0.041671428571428575,17.7
Portugal,PRT,Europa,0.2853,23.9
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,26.6
Qatar,QAT,Asia,0.0752,0.5
Romania,ROU,Europa,0.0351375,20.6
Russia,RUS,Asia,0.9014,16.1
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,20.8
Saudi-Arabia,SAU,Asia,0.035,24.2
Serbia,SRB,Europa,0.7431428571428571,34.9
Singapore,SGP,Asia,7.142857142857143e-4,9.1
Slovakia,SVK,Europa,0.18293333333333334,22.2
Slovenia,SVN,Europa,0.25871428571428573,15.2
South-Africa,ZAF,Africa,11.9525,53.5
South-Korea,KOR,Asia,0.020142857142857143,10.4
South-Sudan,SSD,Africa,1.993,18.5
Spain,ESP,Europa,0.1273,38.6
St-Lucia,LCA,America_do_Norte,12.572,46.2
Suriname,SUR,America_do_Sul,1.3685666666666667,13.4
Sweden,SWE,Europa,0.2340125,17.9
Switzerland,CHE,Europa,0.18586666666666668,8.1
Syria,SYR,Asia,0.616,35.8
Tajikistan,TJK,Asia,0.21270666666666666,16.7
Thailand,THA,Asia,2.587625,3.7
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,7.1
Tunisia,TUN,Africa,0.0345,34.7
Turkey,TUR,Europa,0.777,20.5
Uganda,UGA,Africa,1.54006,2.6
Ukraine,UKR,Europa,0.22356,23
United-Kingdom,GBR,Europa,0.03181428571428571,13
United-States,USA,America_do_Norte,3.8391555555555557,9.2
Uruguay,URY,America_do_Sul,3.5788285714285712,23.8
Venezuela,VEN,America_do_Sul,28.57428,14.6
Zambia,ZMB,Africa,0.305,15.2
