Country,ABV,Continente,HomMed,Juros_Per
Albania,ALB,Europa,2.3692,8.22
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,9.31
Argentina,ARG,America_do_Sul,2.485957142857143,26.58
Armenia,ARM,Asia,0.29600000000000004,14.41
Australia,AUS,Oceania,0.1637,5.24
Austria,AUT,Europa,0.1401375,1.57
Azerbaijan,AZE,Asia,0.275,12.7
Bahamas,BHS,America_do_Norte,29.101166666666668,4.25
Bahrain,BHR,Asia,0.061200000000000004,5.33
Barbados,BRB,America_do_Norte,1.2622,8.1
Belarus,BLR,Europa,0.123305,9.66
Belgium,BEL,Europa,0.2617714285714286,2.08
Belize,BLZ,America_do_Norte,20.573014285714287,9.46
Bolivia,BOL,America_do_Sul,0.748,8.11
Bosnia-And-Herzegovina,BIH,Europa,0.49688,4.38
Brazil,BRA,America_do_Sul,19.717585714285715,46.92
Brunei,BRN,Asia,0,5.5
Bulgaria,BGR,Europa,0.3552,5.41
Canada,CAN,America_do_Norte,0.5107111111111111,3.2
Chile,CHL,America_do_Sul,1.6417714285714287,4.6
Colombia,COL,America_do_Sul,26.9846,13.69
Congo-Drc,COD,Africa,1.3555000000000001,20.62
Costa-Rica,CRI,America_do_Norte,6.083616666666667,11.37
Croatia,HRV,Europa,0.36265000000000003,4.23
Cyprus,CYP,Asia,0.466375,4.13
Czech-Republic,CZE,Europa,0.1352625,3.59
Denmark,DNK,Europa,0.14444285714285715,2.84
Dominica,DMA,America_do_Norte,3.3232857142857144,8.08
Dominican-Republic,DOM,America_do_Norte,8.24834,13.91
Ecuador,ECU,America_do_Sul,6.795957142857143,7.92
Egypt,EGY,Africa,0.11957142857142856,18.18
El-Salvador,SLV,America_do_Norte,39.16866666666667,6.47
Estonia,EST,Europa,0.34851666666666664,4.2
Fiji,FJI,Oceania,0,5.74
Finland,FIN,Europa,0.28034285714285717,1.61
France,FRA,Europa,0.1936,1.29
Georgia,GEO,Asia,5.197555555555556,11.49
Germany,DEU,Europa,0.06882857142857143,1.67
Greece,GRC,Europa,0.46208571428571427,5.25
Grenada,GRD,America_do_Norte,0.2636671428571429,8.31
Guatemala,GTM,America_do_Norte,25.575985714285714,13.05
Guyana,GUY,America_do_Sul,4.6583,13
Honduras,HND,America_do_Norte,53.2672,19.26
Hong-Kong,HKG,Asia,0.00824,5
Hungary,HUN,Europa,0.0776375,1.48
Iceland,ISL,Europa,0.039177125,7.26
India,IND,Asia,0.25409000000000004,9.51
Iran,IRN,Asia,0.48200000000000004,18
Ireland,IRL,Europa,0.3053666666666667,4.08
Israel,ISR,Asia,0.8773857142857143,3.5
Italy,ITA,Europa,0.3159142857142857,3
Jamaica,JAM,America_do_Norte,25.892116666666666,14.91
Japan,JPN,Asia,0.004285714285714286,1.48
Jordan,JOR,Asia,1.21725,8.65
Kazakhstan,KAZ,Asia,0.4828142857142857,14.17
Kuwait,KWT,Asia,0.24783333333333332,4.68
Kyrgyzstan,KGZ,Asia,0.3412857142857143,18.49
Latvia,LVA,Europa,0.2730571428571429,2.58
Liberia,LBR,Africa,0.445,13.3
Lithuania,LTU,Europa,0.2451875,2.8
Luxembourg,LUX,Europa,0.08344285714285715,1.9
Macedonia,MKD,Europa,0.73232,6.21
Malaysia,MYS,Asia,0.04123333333333334,4.61
Maldives,MDV,Asia,0,10.5
Malta,MLT,Europa,0.3361657142857143,3.7
Mauritius,MUS,Africa,0.098,8.5
Mexico,MEX,America_do_Norte,11.3781,7.34
Moldova,MDA,Europa,0.29512499999999997,10.36
Mongolia,MNG,Asia,0.251525,20.01
Montenegro,MNE,Europa,1.910670425,6.81
Montserrat,MSR,America_do_Norte,36.42857142857143,6.95
Morocco,MAR,Africa,0.029333333333333333,5.6
Namibia,NAM,Africa,2.48375,10.04
Netherlands,NLD,Europa,0.22265,1.33
New-Zealand,NZL,Oceania,0.16821428571428573,5.1
Nicaragua,NIC,America_do_Norte,3.345957142857143,10.8
Norway,NOR,Europa,0.28314285714285714,2.89
Oman,OMN,Asia,0,5.2
Palestine,PSE,Asia,2.03075,5.8
Panama,PAN,America_do_Norte,15.201657142857142,7.52
Paraguay,PRY,America_do_Sul,5.18525,17
Peru,PER,America_do_Sul,0.4888142857142857,16.6
Philippines,PHL,Asia,7.470433333333333,5.63
Poland,POL,Europa,0.041671428571428575,4.8
Portugal,PRT,Europa,0.2853,3.21
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,5
Qatar,QAT,Asia,0.0752,4.95
Romania,ROU,Europa,0.0351375,5.57
Russia,RUS,Asia,0.9014,10.55
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,19.61
Saudi-Arabia,SAU,Asia,0.035,8.3
Serbia,SRB,Europa,0.7431428571428571,8.2
Singapore,SGP,Asia,7.142857142857143e-4,5.28
Slovakia,SVK,Europa,0.18293333333333334,2.44
Slovenia,SVN,Europa,0.25871428571428573,2.59
South-Africa,ZAF,Africa,11.9525,10.38
South-Korea,KOR,Asia,0.020142857142857143,3.48
South-Sudan,SSD,Africa,1.993,13.38
Spain,ESP,Europa,0.1273,2.03
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,9.09
St-Lucia,LCA,America_do_Norte,12.572,8.34
Suriname,SUR,America_do_Sul,1.3685666666666667,14.43
Sweden,SWE,Europa,0.2340125,1.93
Switzerland,CHE,Europa,0.18586666666666668,2.6
Syria,SYR,Asia,0.616,14
Tajikistan,TJK,Asia,0.21270666666666666,30
Thailand,THA,Asia,2.587625,4.42
Tonga,TON,Oceania,0.001,8
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,9
Tunisia,TUN,Africa,0.0345,7.31
Turkey,TUR,Europa,0.777,15.77
Uganda,UGA,Africa,1.54006,21.28
Ukraine,UKR,Europa,0.22356,16.38
