Country,ABV,Continente,HomMed,Inflacao_Per
Albania,ALB,Europa,2.3692,2
Andorra,AND,Europa,0.004666666666666667,-0.9
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,2.5
Argentina,ARG,America_do_Sul,2.485957142857143,25.7
Armenia,ARM,Asia,0.29600000000000004,0.9
Australia,AUS,Oceania,0.1637,2
Austria,AUT,Europa,0.1401375,2.2
Azerbaijan,AZE,Asia,0.275,13
Bahamas,BHS,America_do_Norte,29.101166666666668,1.4
Bahrain,BHR,Asia,0.061200000000000004,1.4
Barbados,BRB,America_do_Norte,1.2622,4.4
Belarus,BLR,Europa,0.123305,6
Belgium,BEL,Europa,0.2617714285714286,2.2
Belize,BLZ,America_do_Norte,20.573014285714287,1.1
Bermuda,BMU,America_do_Norte,4.113833333333333,1.9
Bolivia,BOL,America_do_Sul,0.748,2.8
Bosnia-And-Herzegovina,BIH,Europa,0.49688,1.2
Brazil,BRA,America_do_Sul,19.717585714285715,3.4
Brunei,BRN,Asia,0,-0.2
Bulgaria,BGR,Europa,0.3552,1.2
Canada,CAN,America_do_Norte,0.5107111111111111,1.6
Chile,CHL,America_do_Sul,1.6417714285714287,2.2
Colombia,COL,America_do_Sul,26.9846,4.3
Congo-Drc,COD,Africa,1.3555000000000001,41.5
Costa-Rica,CRI,America_do_Norte,6.083616666666667,1.6
Croatia,HRV,Europa,0.36265000000000003,1.1
Cuba,CUB,America_do_Norte,0.2187714285714286,5.5
Cyprus,CYP,Asia,0.466375,0.7
Czech-Republic,CZE,Europa,0.1352625,2.4
Denmark,DNK,Europa,0.14444285714285715,1.1
Dominica,DMA,America_do_Norte,3.3232857142857144,0.6
Dominican-Republic,DOM,America_do_Norte,8.24834,3.3
Ecuador,ECU,America_do_Sul,6.795957142857143,0.4
Egypt,EGY,Africa,0.11957142857142856,23.5
El-Salvador,SLV,America_do_Norte,39.16866666666667,1
Estonia,EST,Europa,0.34851666666666664,3.7
Fiji,FJI,Oceania,0,3.4
Finland,FIN,Europa,0.28034285714285717,0.8
France,FRA,Europa,0.1936,1.2
Georgia,GEO,Asia,5.197555555555556,6
Germany,DEU,Europa,0.06882857142857143,1.7
Greece,GRC,Europa,0.46208571428571427,1.1
Grenada,GRD,America_do_Norte,0.2636671428571429,0.9
Guam,GUM,Oceania,2.036,1
Guatemala,GTM,America_do_Norte,25.575985714285714,4.4
Guyana,GUY,America_do_Sul,4.6583,2
Honduras,HND,America_do_Norte,53.2672,3.9
Hong-Kong,HKG,Asia,0.00824,1.5
Hungary,HUN,Europa,0.0776375,2.4
Iceland,ISL,Europa,0.039177125,1.8
India,IND,Asia,0.25409000000000004,3.6
Iran,IRN,Asia,0.48200000000000004,9.6
Ireland,IRL,Europa,0.3053666666666667,0.3
Israel,ISR,Asia,0.8773857142857143,0.2
Italy,ITA,Europa,0.3159142857142857,1.3
Jamaica,JAM,America_do_Norte,25.892116666666666,4.4
Japan,JPN,Asia,0.004285714285714286,0.5
Jordan,JOR,Asia,1.21725,3.3
Kazakhstan,KAZ,Asia,0.4828142857142857,7.4
Kuwait,KWT,Asia,0.24783333333333332,1.5
Kyrgyzstan,KGZ,Asia,0.3412857142857143,3.2
Latvia,LVA,Europa,0.2730571428571429,2.9
Liberia,LBR,Africa,0.445,12.4
Liechtenstein,LIE,Europa,0.0026666666666666666,-0.4
Lithuania,LTU,Europa,0.2451875,3.7
Luxembourg,LUX,Europa,0.08344285714285715,2.1
Macedonia,MKD,Europa,0.73232,1.4
Malaysia,MYS,Asia,0.04123333333333334,3.8
Maldives,MDV,Asia,0,2.3
Malta,MLT,Europa,0.3361657142857143,1.3
Mauritius,MUS,Africa,0.098,3.7
Mexico,MEX,America_do_Norte,11.3781,6
Moldova,MDA,Europa,0.29512499999999997,6.6
Mongolia,MNG,Asia,0.251525,4.6
Montenegro,MNE,Europa,1.910670425,2.4
Montserrat,MSR,America_do_Norte,36.42857142857143,1.2
Morocco,MAR,Africa,0.029333333333333333,0.8
Namibia,NAM,Africa,2.48375,6.1
Netherlands,NLD,Europa,0.22265,1.3
New-Zealand,NZL,Oceania,0.16821428571428573,1.9
Nicaragua,NIC,America_do_Norte,3.345957142857143,3.9
Norway,NOR,Europa,0.28314285714285714,1.9
Oman,OMN,Asia,0,1.6
Palestine,PSE,Asia,2.03075,0.2
Panama,PAN,America_do_Norte,15.201657142857142,0.9
Paraguay,PRY,America_do_Sul,5.18525,3.6
Peru,PER,America_do_Sul,0.4888142857142857,2.8
Philippines,PHL,Asia,7.470433333333333,2.9
Poland,POL,Europa,0.041671428571428575,2
Portugal,PRT,Europa,0.2853,1.6
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,1.8
Qatar,QAT,Asia,0.0752,0.4
Romania,ROU,Europa,0.0351375,1.3
Russia,RUS,Asia,0.9014,3.7
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,5.7
Saudi-Arabia,SAU,Asia,0.035,-0.9
Serbia,SRB,Europa,0.7431428571428571,3.1
Singapore,SGP,Asia,7.142857142857143e-4,0.6
Slovakia,SVK,Europa,0.18293333333333334,1.3
Slovenia,SVN,Europa,0.25871428571428573,1.4
South-Africa,ZAF,Africa,11.9525,5.3
South-Korea,KOR,Asia,0.020142857142857143,1.9
South-Sudan,SSD,Africa,1.993,187.9
Spain,ESP,Europa,0.1273,2
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,0
St-Lucia,LCA,America_do_Norte,12.572,0.1
