Country,ABV,Continente,Gun_100,Renda_per_Capta,PIB_PORCENTO,Inv_per_cap,Distribuicao_Renda,IDH,Media_Estudo_Aanos,Por_Desemp,Forca_de_Trabalho,Desempregados_Jovens_Per,Imposto_perc_PIB,Juros_Per,Inflacao_Per,Export_Dolar,Import_Dolar,Hom_1000
Albania,ALB,Europa,12.01,12500,3.5,412.25361603024976,29,0.7849999999999999,10,13.8,1198000,39.8,27.6,8.22,2,900700000,4103000000,2.3692
Argentina,ARG,America_do_Sul,8.1175,20900,5.9,1217.2474825479585,41.7,0.8250000000000001,9.9,8.4,18000000,18.3,18.9,26.58,25.7,58450000000,63970000000,2.485957142857143
Armenia,ARM,Asia,6.13,9500,2.8,261.17950100338453,31.5,0.755,11.7,18.9,1507000,36.3,22.9,14.41,0.9,2361000000,3771000000,0.29600000000000004
Australia,AUS,Oceania,13.663161200000001,50400,5.2,2765.044698275192,30.3,0.9390000000000001,12.9,5.6,12910000,12.6,35.5,5.24,2,231600000000,221000000000,0.1637
Austria,AUT,Europa,30.01,50000,5.4,2708.1767286034824,30.5,0.908,12.1,5.5,4260000,11.3,48.3,1.57,2.2,156700000000,158100000000,0.1401375
Azerbaijan,AZE,Asia,3.61,17500,3,514.2081095575819,33.7,0.757,10.7,5,5118000,13.4,23.5,12.7,13,15150000000,9037000000,0.275
Belarus,BLR,Europa,6.101,18900,5,941.4809253550469,26.5,0.808,12.3,0.8,4381000,10.7,40.7,9.66,6,28650000000,31580000000,0.123305
Belgium,BEL,Europa,9.247337133333334,46600,6.6,3018.5738847623,25.9,0.916,11.8,7.1,5324000,20.1,51.3,2.08,2.2,300800000000,300400000000,0.2617714285714286
Bolivia,BOL,America_do_Sul,2.267,7600,7.3,540.5426919283613,47,0.693,8.9,4,5719000,6.9,39.9,8.11,2.8,7746000000,8601000000,0.748
Brazil,BRA,America_do_Sul,8.462,15600,5.9,917.5717108588813,49,0.759,7.8,12.8,104200000,30.2,35.7,46.92,3.4,217200000000,153200000000,19.717585714285715
Bulgaria,BGR,Europa,8.401,21800,4.1,891.745863693453,40.2,0.8130000000000001,11.8,6.2,3357000,17.2,35.7,5.41,1.2,29080000000,31430000000,0.3552
Canada,CAN,America_do_Norte,27.341935,48400,5.3,2620.3359214801076,32.1,0.926,13.3,6.3,19520000,11.6,39.3,3.2,1.6,423500000000,442100000000,0.5107111111111111
Chile,CHL,America_do_Sul,10.009850666666667,24600,4.9,1235.8480450662312,50.5,0.8430000000000001,10.3,6.7,8881000,17.2,20.8,4.6,2.2,69230000000,61310000000,1.6417714285714287
Colombia,COL,America_do_Sul,8.51275,14400,4.5,664.7844601120605,51.1,0.747,8.3,9.3,25760000,17.5,26.5,13.69,4.3,39480000000,44240000000,26.9846
Costa-Rica,CRI,America_do_Norte,9.3117,16900,7.1,1195.0211163026838,48.5,0.7939999999999999,8.8,8.1,2229000,20.6,14.3,11.37,1.6,10810000000,15150000000,6.083616666666667
Croatia,HRV,Europa,13.701,24700,4.6,1099.7826942170436,30.8,0.8310000000000001,11.3,12.4,1559000,31.3,46.1,4.23,1.1,13150000000,22340000000,0.36265000000000003
Cyprus,CYP,Asia,34,37200,6.1,1567.0510101140744,34.8,0.8690000000000001,12.1,11.1,426600,29.1,39.9,4.13,0.7,2805000000,7935000000,0.466375
Czech-Republic,CZE,Europa,8.999548,35500,4,1407.0392575743695,25,0.888,12.7,2.9,5427000,10.5,40.5,3.59,2.4,144800000000,134700000000,0.1352625
Denmark,DNK,Europa,9.901,50100,7.6,3765.0042981308898,29,0.929,12.6,5.7,2998000,12,53,2.84,1.1,113600000000,94930000000,0.14444285714285715
Ecuador,ECU,America_do_Sul,2.4625,11500,5,584.9015868228522,45.9,0.752,8.7,4.6,8086000,8.4,32,7.92,0.4,19620000000,19310000000,6.795957142857143
Egypt,EGY,Africa,4.101,12700,3.8,460.22003269441257,31.8,0.696,7.2,12.2,29950000,30.8,17.9,18.18,23.5,23300000000,59780000000,0.11957142857142856
El-Salvador,SLV,America_do_Norte,10.862,8000,3.5,289.45717748584156,36,0.6739999999999999,6.9,7,2774000,9.8,23.7,6.47,1,4662000000,9499000000,39.16866666666667
Estonia,EST,Europa,5,31700,5.5,1841.0126915955148,34.8,0.8710000000000001,12.7,5.8,670200,13.4,39.9,4.2,3.7,13440000000,14420000000,0.34851666666666664
Finland,FIN,Europa,31.34098666666667,44500,7.2,3184.331028265435,27.2,0.92,12.4,8.5,2473000,20.1,53.1,1.61,0.8,67730000000,65260000000,0.28034285714285717
France,FRA,Europa,17.283,44100,5.5,2331.7969174707628,29.3,0.901,11.5,9.4,30680000,24.6,53.8,1.29,1.2,549900000000,601700000000,0.1936
Georgia,GEO,Asia,10.101,10700,3.8,307.4042338269706,40.1,0.7799999999999999,12.8,11.8,1998000,30.5,28.7,11.49,6,3566000000,7415000000,5.197555555555556
Germany,DEU,Europa,31.749000000000002,50800,4.9,2557.255618561581,27,0.936,14.1,3.8,45900000,7.1,45,1.67,1.7,1434000000000,1135000000000,0.06882857142857143
Guatemala,GTM,America_do_Norte,11.83867,8200,2.8,233.20284274916645,53,0.65,6.5,2.3,6664000,6.1,10.8,13.05,4.4,11120000000,17110000000,25.575985714285714
Guyana,GUY,America_do_Sul,18.1125,8100,3.2,272.22368483228365,44.6,0.654,8.4,11.1,313800,21.6,28.1,13,2,1439000000,1626000000,4.6583
Honduras,HND,America_do_Norte,11.760666666666667,5600,5.9,297.48117288407434,47.1,0.617,6.5,5.6,3735000,8.5,20.3,19.26,3.9,8675000000,11320000000,53.2672
Hong-Kong,HKG,Asia,3.601,61500,3.3,2085.677948267501,53.9,0.933,12,3.1,3965000,9.8,23.2,5,1.5,537800000000,561800000000,0.00824
Hungary,HUN,Europa,10.501,29600,4.6,1355.7908929477217,28.2,0.8380000000000001,11.9,4.2,4599000,12.9,44.5,1.48,2.4,98740000000,96300000000,0.0776375
Iceland,ISL,Europa,31.701,52200,7.8,4127.993292927881,28,0.935,12.4,2.8,198700,6.5,42.4,7.26,1.8,4957000000,6525000000,0.039177125
India,IND,Asia,5.301,7200,3.8,277.60838190581677,35.2,0.64,6.4,8.5,521900000,10.1,9.2,9.51,3.6,304100000000,452200000000,0.25409000000000004
Iran,IRN,Asia,7.301,20100,3.4,671.6070010212017,44.5,0.7979999999999999,9.8,11.8,30500000,29.2,17.3,18,9.6,101400000000,76390000000,0.48200000000000004
Ireland,IRL,Europa,5.54887,73200,4.9,3415.8502777202275,31.3,0.9380000000000001,12.5,6.7,2226000,17.2,26,4.08,0.3,219700000000,98130000000,0.3053666666666667
Israel,ISR,Asia,5.43887,36400,5.7,2145.3894311436666,42.8,0.903,13,4.2,4021000,7.3,26.5,3.5,0.2,58670000000,68610000000,0.8773857142857143
Italy,ITA,Europa,12.895,38200,4.1,1526.1377660114015,31.9,0.88,10.2,11.3,25940000,37.8,46.6,3,1.3,496300000000,432900000000,0.3159142857142857
Jamaica,JAM,America_do_Norte,7.712,9200,5.4,500.4249508372777,35,0.732,9.8,12.2,1348000,28.3,29.7,14.91,4.4,1296000000,5151000000,25.892116666666666
Japan,JPN,Asia,0.301,42900,3.6,1553.0701740619877,37.9,0.909,12.8,2.9,65010000,5.1,35.2,1.48,0.5,688900000000,644700000000,0.004285714285714286
Jordan,JOR,Asia,17.9325,9200,3.9,331.88591806424165,39.7,0.735,10.4,18.3,2295000,29.3,23.6,8.65,3.3,7511000000,18210000000,1.21725
Kazakhstan,KAZ,Asia,2.0620000000000003,26300,3,765.9827273509076,26.3,0.8,11.8,5,8970000,3.9,22.3,14.17,7.4,49290000000,31850000000,0.4828142857142857
Kyrgyzstan,KGZ,Asia,2.801,3700,6,237.464474357256,33.4,0.6719999999999999,10.9,7.1,2841000,15.5,28.7,18.49,3.2,1840000000,4187000000,0.3412857142857143
Latvia,LVA,Europa,10.501,27700,5.3,1488.4180833548646,34.5,0.8470000000000001,12.8,8.7,990000,17.3,37.5,2.58,2.9,12840000000,15790000000,0.2730571428571429
