Country,GDP..official.exchange.rate.
Afghanistan,"$20.24 billion
          (2017 est.)
          (2017 est.)"
Albania,"$13.07 billion
          (2017 est.)
          (2017 est.)"
Algeria,"$167.6 billion
          (2017 est.)
          (2017 est.)"
American Samoa,"$658 million
          (2016 est.)
          (2016 est.)"
Andorra,"$2.712 billion
          (2016 est.)
          (2016 est.)"
Angola,"$126.5 billion
          (2017 est.)
          (2017 est.)"
Anguilla,"$175.4 million
          (2009 est.)
          (2009 est.)"
Antigua and Barbuda,"$1.524 billion
          (2017 est.)
          (2017 est.)"
Argentina,"$637.6 billion
          (2017 est.)
          (2017 est.)"
Armenia,"$11.54 billion
          (2017 est.)
          (2017 est.)"
Aruba,"$2.7 billion
          (2009 est.)
          (2017 est.)"
Australia,"$1.38 trillion
          (2017 est.)
          (2017 est.)"
Austria,"$417.4 billion
          (2017 est.)
          (2017 est.)"
Azerbaijan,"$40.67 billion
          (2017 est.)
          (2017 est.)"
"Bahamas, The","$12.16 billion
          (2017 est.)
          (2017 est.)"
Bahrain,"$35.33 billion
          (2017 est.)
          (2017 est.)"
Bangladesh,"$261.5 billion
          (2017 est.)
          (2017 est.)"
Barbados,"$4.99 billion
          (2017 est.)
          (2017 est.)"
Belarus,"$54.44 billion
          (2017 est.)
          (2017 est.)"
Belgium,"$493.7 billion
          (2017 est.)
          (2017 est.)"
Belize,"$1.854 billion
          (2017 est.)
          (2017 est.)"
Benin,"$9.246 billion
          (2017 est.)
          (2017 est.)"
Bermuda,"$6.127 billion
          (2016 est.)
          (2016 est.)"
Bhutan,"$2.405 billion
          (2017 est.)
          (2017 est.)"
Bolivia,"$37.78 billion
          (2017 est.)
          (2017 est.)"
Bosnia and Herzegovina,"$18.17 billion
          (2017 est.)
          (2017 est.)"
Botswana,"$17.38 billion
          (2017 est.)
          (2017 est.)"
Brazil,"$2.055 trillion
          (2017 est.)
          (2017 est.)"
British Virgin Islands,"$1.028 billion
          (2017 est.)
          (2017 est.)"
Brunei,"$12.13 billion
          (2017 est.)
          (2017 est.)"
