Rank,Country,X...of.GDP.,Date.of.Information
1,Qatar,50.2,2017 est.
2,Palau,48.7,2016 est.
3,Brunei,47.5,2017 est.
4,Suriname,46.6,2017 est.
5,Singapore,46.5,2017 est.
6,China,45.8,2017 est.
7,Nepal,45.4,2017 est.
8,Bhutan,40.4,2017 est.
9,Botswana,40.3,2017 est.
10,Panama,38.9,2017 est.
11,Zambia,38.3,2017 est.
12,Iran,37.9,2017 est.
13,Algeria,37.8,2017 est.
14,Papua New Guinea,36.8,2017 est.
15,"Korea, South",36.6,2017 est.
16,Kuwait,35.4,2017 est.
17,Taiwan,34.9,2017 est.
18,Norway,34.3,2017 est.
19,Thailand,34.1,2017 est.
20,Sri Lanka,33.8,2017 est.
21,Switzerland,33.8,2017 est.
22,Malta,33.5,2017 est.
23,Ireland,33.1,2017 est.
24,Uzbekistan,32.7,2017 est.
25,Cabo Verde,32.4,2017 est.
26,Ethiopia,32.1,2017 est.
27,Indonesia,31.7,2017 est.
28,Netherlands,31.2,2017 est.
29,Macedonia,30.3,2017 est.
30,Bangladesh,30.2,2017 est.
31,Morocco,30.1,2017 est.
32,Saudi Arabia,30.1,2017 est.
33,Vietnam,29,2017 est.
34,Sweden,28.9,2017 est.
35,Denmark,28.8,2017 est.
36,India,28.8,2017 est.
37,Angola,28.6,2017 est.
38,Malaysia,28.5,2017 est.
39,United Arab Emirates,28.5,2017 est.
40,Germany,28,2017 est.
41,Japan,28,2017 est.
42,Kyrgyzstan,27.3,2017 est.
43,Austria,27,2017 est.
44,Estonia,27,2017 est.
45,Czechia,26.9,2017 est.
46,Mongolia,26.9,2017 est.
47,Hong Kong,26.6,2017 est.
48,Russia,26.5,2017 est.
49,Slovenia,26.4,2017 est.
50,Trinidad and Tobago,26.4,2017 est.
51,Ecuador,25.9,2017 est.
52,Iceland,25.8,2017 est.
53,Faroe Islands,25.7,2012 est.
54,Hungary,25.7,2017 est.
55,Gabon,25.6,2017 est.
56,Cameroon,25.5,2017 est.
57,Turkey,25.5,2017 est.
58,Bulgaria,25.4,2017 est.
59,Eswatini,25.4,2017 est.
60,Tanzania,25,2017 est.
61,Haiti,24.9,2017 est.
62,Croatia,24.7,2017 est.
63,Azerbaijan,24.6,2017 est.
64,Belarus,24.5,2017 est.
65,Belgium,24.5,2017 est.
66,Tajikistan,24.4,2017 est.
