Country,Population.below.poverty.line
Afghanistan,"54.5%
          
          (2017 est.)"
Albania,"14.3%
          
          (2012 est.)"
Algeria,"23%
          
          (2006 est.)"
American Samoa,NA
Angola,"36.6%
          
          (2008 est.)"
Anguilla,"23%
          
          (2002 est.)"
Antigua and Barbuda,NA
Argentina,"25.7%
          
          (2017 est.)
        

  

    
      note: data are based on private estimates"
Armenia,"32%
          
          (2013 est.)"
Aruba,NA
Australia,NA
Austria,"3%
          
          (2017 est.)"
Azerbaijan,"4.9%
          
          (2015 est.)"
"Bahamas, The","9.3%
          
          (2010 est.)"
Bahrain,NA
Bangladesh,"24.3%
          
          (2016 est.)"
Barbados,NA
Belarus,"5.7%
          
          (2016 est.)"
Belgium,"15.1%
          
          (2013 est.)"
Belize,"41%
          
          (2013 est.)"
Benin,"36.2%
          
          (2011 est.)"
Bermuda,"11%
          
          (2008 est.)"
Bhutan,"12%
          
          (2012 est.)"
Bolivia,"38.6%
          
          (2015 est.)
        

  

    
      note: based on percent of population living on less than the international standard of $2/day"
Bosnia and Herzegovina,"16.9%
          
          (2015 est.)"
Botswana,"19.3%
          
          (2009 est.)"
Brazil,"4.2%
          
          (2016 est.)
        

  

    
      note: approximately 4% of the population are below the ""extreme"" poverty line"
British Virgin Islands,NA
Brunei,NA
Bulgaria,"23.4%
          
          (2016 est.)"
Burkina Faso,"40.1%
          
          (2009 est.)"
Burma,"25.6%
          
          (2016 est.)"
Burundi,"64.6%
          
          (2014 est.)"
Cabo Verde,"30%
          
          (2000 est.)"
Cambodia,"16.5%
          
          (2016 est.)"
Cameroon,"30%
          
          (2001 est.)"
Canada,"9.4%
          
          (2008 est.)
        

  

    
      note: this figure is the Low Income Cut-Off, a calculation that results in higher figures than found in many comparable economies; Canada does not have an official poverty line"
Cayman Islands,NA
Central African Republic,"62%
          NA
          (2008 est.)"
Chad,"46.7%
          
          (2011 est.)"
Chile,"14.4%
          
          (2013)"
China,"3.3%
          
          (2016 est.)
        

  

    
      note: in 2011, China set a new poverty line at RMB 2300 (approximately US $400)"
Colombia,"28%
          
          (2017 est.)"
Comoros,"44.8%
          
          (2004 est.)"
"Congo, Democratic Republic of the","63%
          
          (2014 est.)"
"Congo, Republic of the","46.5%
          
          (2011 est.)"
Cook Islands,NA
Costa Rica,"21.7%
          
          (2014 est.)"
Cote d'Ivoire,"46.3%
          
          (2015 est.)"
Croatia,"19.5%
          
          (2015 est.)"
Cuba,NA
Cyprus,NA
Czechia,"9.7%
          
          (2015 est.)"
Denmark,"13.4%
          
          (2011 est.)
        

  

    
      note: excludes students"
Djibouti,"23%
          
          (2015 est.)
        

  

    
      note: percent of population below $1.25 per day at purchasing power parity"
Dominica,"29%
          
          (2009 est.)"
Dominican Republic,"30.5%
          
          (2016 est.)"
Ecuador,"21.5%
          
          (December 2017 est.)"
Egypt,"27.8%
          
          (2016 est.)"
El Salvador,"32.7%
          
          (2016 est.)"
Equatorial Guinea,"44%
          
          (2011 est.)"
Eritrea,"50%
          
          (2004 est.)"
Estonia,"21.1%
          
          (2016 est.)"
Eswatini,"63%
          
          (2010 est.)"
Ethiopia,"29.6%
          
          (2014 est.)"
European Union,"9.8%
          
          (2013 est.)
        

  

    
      note: see individual country entries of member states"
