Rank,Country,X.deaths.1.000.population.,Date.of.Information
1,South Sudan,19.3,2018 est.
2,Lesotho,15.1,2018 est.
3,Lithuania,14.8,2018 est.
4,Bulgaria,14.5,2018 est.
5,Latvia,14.5,2018 est.
6,Ukraine,14.3,2018 est.
7,Serbia,13.6,2018 est.
8,Russia,13.4,2018 est.
9,Afghanistan,13.2,2018 est.
10,Belarus,13.2,2018 est.
11,Central African Republic,12.9,2018 est.
12,Hungary,12.8,2018 est.
13,Somalia,12.8,2018 est.
14,Estonia,12.7,2018 est.
15,Moldova,12.6,2018 est.
16,Croatia,12.4,2018 est.
17,Romania,12,2018 est.
18,Zambia,12,2018 est.
19,Germany,11.8,2018 est.
20,Niger,11.5,2018 est.
21,Greece,11.4,2018 est.
22,Mozambique,11.4,2018 est.
23,Georgia,10.9,2018 est.
24,Eswatini,10.7,2018 est.
25,Portugal,10.6,2018 est.
26,Chad,10.5,2018 est.
27,Czechia,10.5,2018 est.
28,Italy,10.5,2018 est.
29,Poland,10.5,2018 est.
30,Montenegro,10.4,2018 est.
31,Isle of Man,10.2,2018 est.
32,Saint Pierre and Miquelon,10.2,2018 est.
33,Sierra Leone,10.2,2018 est.
34,Bosnia and Herzegovina,10.1,2018 est.
35,Finland,10.1,2018 est.
36,Monaco,10.1,2018 est.
37,Japan,9.9,2018 est.
38,Slovakia,9.9,2018 est.
39,Slovenia,9.9,2018 est.
40,Uganda,9.9,2018 est.
41,Zimbabwe,9.9,2018 est.
42,Austria,9.7,2018 est.
43,Belgium,9.7,2018 est.
44,Macedonia,9.6,2018 est.
45,Mali,9.6,2018 est.
46,Nigeria,9.6,2018 est.
47,Armenia,9.5,2018 est.
48,Botswana,9.5,2018 est.
49,Cameroon,9.4,2018 est.
50,"Congo, Democratic Republic of the",9.4,2018 est.
51,France,9.4,2018 est.
52,Sweden,9.4,2018 est.
53,United Kingdom,9.4,2018 est.
54,Uruguay,9.4,2018 est.
55,Denmark,9.3,2018 est.
56,"Korea, North",9.3,2018 est.
57,South Africa,9.3,2018 est.
58,"Congo, Republic of the",9.2,2018 est.
59,Spain,9.2,2018 est.
60,Angola,9,2018 est.
