Rank,Country,X.migrant.s..1.000.population.,Date.of.Information
1,British Virgin Islands,16.5,2017 est.
2,Luxembourg,15.5,2017 est.
3,Qatar,14.6,2017 est.
4,Cayman Islands,13.8,2017 est.
5,Singapore,13.1,2017 est.
6,Bahrain,12.1,2017 est.
7,Anguilla,11.7,2017 est.
8,South Sudan,10.6,2017 est.
9,United Arab Emirates,10.5,2017 est.
10,Turks and Caicos Islands,9.5,2017 est.
11,Aruba,8.7,2017 est.
12,Cyprus,8.7,2017 est.
13,Spain,7.8,2017 est.
14,San Marino,7.5,2017 est.
15,Sint Maarten,6.3,2017 est.
16,Isle of Man,6,2017 est.
17,Norway,5.9,2017 est.
18,Canada,5.7,2017 est.
19,Djibouti,5.7,2017 est.
20,Monaco,5.7,2017 est.
21,Australia,5.5,2017 est.
22,Belgium,5.4,2017 est.
23,Sweden,5.3,2017 est.
24,Liechtenstein,5,2017 est.
25,Austria,4.8,2017 est.
26,Switzerland,4.7,2017 est.
27,Iceland,4,2017 est.
28,Ireland,4,2017 est.
29,New Caledonia,3.9,2017 est.
30,United States,3.9,2017 est.
31,Italy,3.7,2017 est.
32,Macau,3.3,2017 est.
33,Jersey,3.2,2017 est.
34,Botswana,3,2017 est.
35,Finland,2.9,2017 est.
36,"Korea, South",2.5,2017 est.
37,Portugal,2.5,2017 est.
38,United Kingdom,2.5,2017 est.
39,Brunei,2.4,2017 est.
40,Czechia,2.3,2017 est.
41,Greece,2.3,2017 est.
42,Antigua and Barbuda,2.2,2017 est.
43,Guernsey,2.2,2017 est.
44,Israel,2.2,2017 est.
45,New Zealand,2.2,2017 est.
46,Denmark,2.1,2017 est.
47,Malta,2,2017 est.
48,Libya,1.9,2017 est.
49,Netherlands,1.9,2017 est.
50,Bermuda,1.8,2017 est.
51,Hong Kong,1.7,2017 est.
52,Russia,1.7,2017 est.
53,Germany,1.5,2017 est.
54,Hungary,1.3,2017 est.
55,Saint Kitts and Nevis,1.2,2017 est.
56,France,1.1,2017 est.
57,Seychelles,1,2017 est.
58,Taiwan,0.9,2017 est.
59,Costa Rica,0.8,2017 est.
60,Palau,0.8,2017 est.
61,Belarus,0.7,2017 est.
62,Suriname,0.6,2017 est.
63,Kazakhstan,0.4,2017 est.
64,Slovenia,0.4,2017 est.
65,Yemen,0.4,2017 est.
66,Chile,0.3,2017 est.
67,Angola,0.2,2017 est.
68,Rwanda,0.2,2017 est.
69,Slovakia,0.1,2017 est.
70,Andorra,0,2017 est.
71,Azerbaijan,0,2017 est.
72,"Bahamas, The",0,2017 est.
73,Belize,0,2017 est.
74,Benin,0,2017 est.
75,Bhutan,0,2017 est.
76,Burkina Faso,0,2017 est.
77,Burundi,0,2017 est.
78,Central African Republic,0,2017 est.
79,Cote d'Ivoire,0,2017 est.
80,Ecuador,0,2017 est.
81,Equatorial Guinea,0,2017 est.
82,Eswatini,0,2017 est.
83,Faroe Islands,0,2017 est.
84,Guinea,0,2017 est.
85,Guinea-Bissau,0,2017 est.
86,India,0,2017 est.
87,Japan,0,2017 est.
88,Jordan,0,2017 est.
89,"Korea, North",0,2017 est.
90,Madagascar,0,2017 est.
91,Malawi,0,2017 est.
92,Mauritius,0,2017 est.
93,Montserrat,0,2017 est.
94,Namibia,0,2017 est.
95,Papua New Guinea,0,2017 est.
96,"Saint Helena, Ascension, and Tristan da Cunha",0,2017 est.
97,Serbia,0,2017 est.
98,Thailand,0,2017 est.
99,Togo,0,2017 est.
100,Ukraine,0,2017 est.
101,Zambia,0,2017 est.
102,Argentina,-0.1,2017 est.
103,Brazil,-0.1,2017 est.
104,Cameroon,-0.1,2017 est.
105,"Congo, Democratic Republic of the",-0.1,2018 est.
106,Paraguay,-0.1,2017 est.
107,Ethiopia,-0.2,2017 est.
108,Iran,-0.2,2017 est.
109,Kenya,-0.2,2017 est.
110,Nigeria,-0.2,2017 est.
111,Panama,-0.2,2017 est.
112,Romania,-0.2,2017 est.
113,Barbados,-0.3,2017 est.
114,Bulgaria,-0.3,2017 est.
115,Cambodia,-0.3,2017 est.
116,Malaysia,-0.3,2017 est.
117,Vietnam,-0.3,2017 est.
118,Bosnia and Herzegovina,-0.4,2017 est.
119,China,-0.4,2017 est.
120,Oman,-0.4,2017 est.
121,Poland,-0.4,2017 est.
122,Bolivia,-0.5,2017 est.
123,Egypt,-0.5,2017 est.
124,Macedonia,-0.5,2017 est.
125,Niger,-0.5,2017 est.
126,Saudi Arabia,-0.5,2017 est.
127,Tanzania,-0.5,2017 est.
128,Cabo Verde,-0.6,2017 est.
129,Colombia,-0.6,2017 est.
130,Uganda,-0.7,2017 est.
131,French Polynesia,-0.8,2017 est.
