Country,Mother.s.mean.age.at.first.birth
Afghanistan,"19.9 years
          
          (2015 est.)
        

  

    
      note: median age at first birth among women 25-29"
Albania,"24.5 years
          
          (2014 est.)"
Angola,"19.4 years
          
          (2015/16 est.)
        

  

    
      note: median age at first birth among women 25-29"
Armenia,"24.4 years
          
          (2015/16 est.)"
Australia,"28.7 years
          
          (2014 est.)"
Austria,"29 years
          
          (2014 est.)"
Azerbaijan,"23.2 years
          
          (2014 est.)"
Bangladesh,"18.5 years
          
          (2014 est.)
        

  

    
      note: median age at first birth among women 25-29"
Belarus,"25.7 years
          
          (2014 est.)"
Belgium,"28.6 years
          
          (2013 est.)"
Benin,"20.3 years
          
          (2011/12 est.)
        

  

    
      note: median age at first birth among women 25-29"
Bolivia,"21.2 years
          
          (2008 est.)
        

  

    
      note: median age at first birth among women 25-29"
Bosnia and Herzegovina,"27 years
          
          (2014 est.)"
Bulgaria,"26.7 years
          
          (2014 est.)"
Burkina Faso,"19.4 years
          
          (2010 est.)
        

  

    
      note: median age at first birth among women 25-29"
Burma,"25 years
          
          (2015/16 est.)
        

  

    
      note: median age at first birth among women 25-29"
Burundi,"21.3 years
          
          (2010 est.)
        

  

    
      note: median age at first birth among women 25-29"
Cambodia,"22.9 years
          
          (2014 est.)
        

  

    
      note: median age at first birth among women 25-29"
Cameroon,"19.7 years
          
          (2011 est.)
        

  

    
      note: median age at first birth among women 25-29"
Canada,"28.1 years
          
          (2012 est.)"
Chad,"17.9 years
          
          (2014/15 est.)
        

  

    
      note: median age at first birth among women 25-29"
Colombia,"21.7 years
          
          (2015 est.)
        

  

    
      note: median age at first birth among women 25-29"
Comoros,"24.6 years
          
          (2012 est.)
        

  

    
      note: median age at first birth among women 25-29"
"Congo, Democratic Republic of the","19.9 years
          
          (2013/14 est.)
        

  

    
      note: median age at first birth among women 25-29"
"Congo, Republic of the","19.8 years
          
          (2011/12 est.)
        

  

    
      note: median age at first birth among women 25-29"
Cote d'Ivoire,"19.8 years
          
          (2011/12 est.)
        

  

    
      note: median age at first birth among women 25-29"
Croatia,"28 years
          
          (2014 est.)"
Cyprus,"28.8 years
          
          (2014 est.)
        

  

    
      note: data represent only government-controlled areas"
Czechia,"28.1 years
          
          (2014 est.)"
Denmark,"29.1 years
          
          (2015 est.)"
Dominican Republic,"21.3 years
          
          (2013 est.)
        

  

    
      note: median age at first birth among women 25-29"
Egypt,"22.7 years
          
          (2014 est.)
        

  

    
      note: median age at first birth among women 25-29"
El Salvador,"20.8 years
          
          (2008 est.)
        

  

    
      note: median age at first birth among women 25-29"
Eritrea,"21.3 years
          
          (2010 est.)
        

  

    
      note: median age at first birth among women 25-29"
Estonia,"26.6 years
          
          (2014 est.)"
Ethiopia,"20 years
          
          (2016 est.)
        

  

    
      note: median age at first birth among women 25-29"
Finland,"28.8 years
          
          (2015 est.)"
France,"28.1 years
          
          (2010 est.)"
Gabon,"20.3 years
          
          (2012 est.)
        

  

    
      note: median age at first birth among women 25-29"
"Gambia, The","20.9 years
          
          (2013 est.)
        

  

    
      note: median age at first birth among women 25-29"
Georgia,"24.5 years
          
          (2014 est.)
        

  

    
      note: data do not cover Abkhazia and South Ossetia"
Germany,"29.4 years
          
          (2015 est.)"
Ghana,"22.3 years
          
          (2017 est.)
        

  

    
      note: median age at first birth among women 25-29"
Greece,"29.8 years
          
          (2014 est.)"
