Rank,Country,X...,Date.of.Information
1,Eritrea,38.8,2010
2,Timor-Leste,37.7,2013
3,India,35.7,2015
4,Sudan,33,2014
5,Bangladesh,32.6,2014
6,Niger,31.7,2016
7,Pakistan,31.6,2012
8,Nigeria,31.5,2016
9,Djibouti,29.8,2012
10,Burundi,29.3,2016
11,Chad,28.8,2015
12,Papua New Guinea,27.9,2010
13,South Sudan,27.6,2010
14,Nepal,27,2016
15,Laos,26.5,2011
16,Afghanistan,25,2013
17,Mali,25,2015
18,Mauritania,24.9,2015
19,Cambodia,23.9,2014
20,Ethiopia,23.6,2016
21,Central African Republic,23.5,2010
22,"Congo, Democratic Republic of the",23.4,2013
23,Somalia,23,2009
24,Philippines,21.5,2015
25,Sri Lanka,20.5,2016
26,Indonesia,19.9,2013
27,Burkina Faso,19.2,2016
28,Angola,19,2016
29,Burma,18.9,2016
30,Guinea,18.3,2016
31,Sierra Leone,18.1,2013
32,Benin,18,2014
33,Maldives,17.8,2009
34,Guinea-Bissau,17,2014
35,Comoros,16.9,2012
36,"Gambia, The",16.4,2013
37,Yemen,16.3,2013
38,Togo,16.2,2014
39,Mozambique,15.6,2011
40,Solomon Islands,15.5,2015
41,Liberia,15.3,2013
42,"Korea, North",15.2,2012
43,Kiribati,14.9,2009
44,Cameroon,14.8,2014
45,Zambia,14.8,2013
46,Vietnam,14.1,2015
47,Malaysia,13.7,2016
48,Tanzania,13.7,2015
49,Senegal,13.5,2016
50,Tajikistan,13.3,2012
51,Namibia,13.2,2013
52,Bhutan,12.8,2010
53,Cote d'Ivoire,12.8,2016
54,Guatemala,12.6,2015
55,"Congo, Republic of the",12.3,2015
56,Malawi,11.7,2015
57,Haiti,11.6,2012
58,Ghana,11,2014
59,Kenya,11,2014
60,Vanuatu,10.7,2013
61,Uganda,10.5,2016
62,Lesotho,10.3,2014
63,Syria,10.1,2009
64,Oman,9.7,2014
65,Brunei,9.6,2009
66,Sao Tome and Principe,8.8,2014
67,Guyana,8.5,2014
68,Iraq,8.5,2011
69,Zimbabwe,8.4,2015
70,Rwanda,8.1,2015
71,Honduras,7.1,2012
72,Egypt,7,2014
73,Thailand,6.7,2016
74,Gabon,6.5,2012
75,Albania,6.3,2009
76,South Africa,5.9,2016
77,Eswatini,5.8,2014
78,Suriname,5.8,2010
79,Equatorial Guinea,5.6,2010
80,Trinidad and Tobago,5.5,2011
81,Ecuador,5.1,2014
82,El Salvador,5,2014
83,Azerbaijan,4.9,2013
84,Belize,4.6,2015
85,Nicaragua,4.6,2012
86,Iran,4.1,2011
87,Dominican Republic,4,2013
88,Uruguay,4,2011
89,Mexico,3.9,2015
90,Panama,3.9,2008
91,Seychelles,3.6,2012
92,Barbados,3.5,2012
93,Bolivia,3.4,2016
94,Colombia,3.4,2010
95,Japan,3.4,2010
96,Turkmenistan,3.2,2015
97,Morocco,3.1,2011
98,Peru,3.1,2016
99,Algeria,3,2012
100,Jordan,3,2012
101,Kuwait,3,2014
102,Venezuela,2.9,2009
103,Kyrgyzstan,2.8,2014
104,Saint Lucia,2.8,2012
105,Samoa,2.7,2014
106,Armenia,2.6,2016
107,China,2.4,2013
108,Jamaica,2.3,2014
109,Tunisia,2.3,2012
110,Moldova,2.2,2012
111,Kazakhstan,2,2015
112,Tonga,1.9,2012
113,Turkey,1.9,2013
114,Serbia,1.8,2014
115,Mongolia,1.6,2013
116,Bosnia and Herzegovina,1.5,2012
117,Gaza Strip,1.4,2014
118,West Bank,1.4,2014
119,Macedonia,1.3,2011
120,Paraguay,1.3,2016
121,Costa Rica,1.1,2008
122,Georgia,1.1,2009
123,Montenegro,1,2013
124,"Korea, South",0.7,2010
125,Chile,0.5,2014
126,United States,0.5,2012
