Country,Railways
Albania,"total:
          677 km
          (447 km of major railway lines and 230 km of secondary lines)
          (2015)
        
        
          standard gauge:
          677 km
          1.435-m gauge
          (2015)"
Algeria,"total:
          3,973 km
          
          (2014)
        
        
          standard gauge:
          2,888 km
          1.432-m gauge (283 km electrified)
          (2014)
        
        
          narrow gauge:
          1,085 km
          1.055-m gauge
          (2014)"
Angola,"total:
          2,852 km
          
          (2014)
        
        
          narrow gauge:
          2,729 km
          1.067-m gauge
          (2014)
        

  

    
      123 0.600-m gauge"
Argentina,"total:
          36,917 km
          
          (2014)
        
        
          standard gauge:
          2,745.1 km
          1.435-m gauge (41.1 km electrified)
          (2014)
        
        
          narrow gauge:
          7,523.3 km
          1.000-m gauge
          (2014)
        
        
          broad gauge:
          26,391 km
          1.676-m gauge (149 km electrified)
          (2014)
        

  

    
      258 0.750-m gauge"
Armenia,"total:
          780 km
          
          (2014)
        
        
          broad gauge:
          780 km
          1.520-m gauge (780 km electrified)
          (2014)
        

  

    
      note: 726 km operational"
Australia,"total:
          33,343 km
          
          (2015)
        
        
          standard gauge:
          17,446 km
          1.435-m gauge (650 km electrified)
          (2015)
        
        
          narrow gauge:
          12,318 km
          1.067-m gauge (2,075.5 km electrified)
          (2015)
        
        
          broad gauge:
          3,247 km
          1.600-m gauge (372 km electrified)
          (2015)"
Austria,"total:
          5,800 km
          (2017)
          
        
        
          standard gauge:
          5,300 km
          1.435-m gauge (3,826 km electrified) (2016)"
Azerbaijan,"total:
          2,944 km
          
          (2017)
        
        
          broad gauge:
          2,944.3 km
          1.520-m gauge (approx. 1,767 km electrified)
          (2017)"
Bangladesh,"total:
          2,460 km
          
          (2014)
        
        
          narrow gauge:
          1,801 km
          1.000-m gauge
          (2014)
        
        
          broad gauge:
          659 km
          1.676-m gauge
          (2014)"
Belarus,"total:
          5,528 km
          
          (2014)
        
        
          standard gauge:
          25 km
          1.435-m gauge
          (2014)
        
        
          broad gauge:
          5,503 km
          1.520-m gauge (874 km electrified)
          (2014)"
Belgium,"total:
          3,592 km
          
          (2014)
        
        
          standard gauge:
          3,592 km
          1.435-m gauge (2,960 km electrified)
          (2014)"
Benin,"total:
          438 km
          
          (2014)
        
        
          narrow gauge:
          438 km
          1.000-m gauge
          (2014)"
Bolivia,"total:
          3,504 km
          
          (2014)
        
        
          narrow gauge:
          3,504 km
          1.000-m gauge
          (2014)"
Bosnia and Herzegovina,"total:
          965 km
          
          (2014)
        
        
          standard gauge:
          965 km
          1.435-m gauge (565 km electrified)
          (2014)"
Botswana,"total:
          888 km
          
          (2014)
        
        
          narrow gauge:
          888 km
          1.067-m gauge
          (2014)"
Brazil,"total:
          29,850 km
          
          (2014)
        
        
          standard gauge:
          194 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          23,341.6 km
          1.000-m gauge (24 km electrified)
          (2014)
        
        
          broad gauge:
          5,822.3 km
          1.600-m gauge (498.3 km electrified)
          (2014)
        
        
          dual gauge:
          492 km
          1.600-1.000-m gauge
          (2014)"
Bulgaria,"total:
          5,114 km
          
          (2014)
        
        
          standard gauge:
          4,989 km
          1.435-m gauge (2,880 km electrified)
          (2014)
        
        
          narrow gauge:
          125 km
          0.760-m gauge
          (2014)"
Burkina Faso,"total:
          622 km
          
          (2014)
        
        
          narrow gauge:
          622 km
          1.000-m gauge
          (2014)
        

  

    
      note: another 660 km of this railway extends into Cote d'Ivoire"
Burma,"total:
          5,031 km
          
          (2008)
        
        
          narrow gauge:
          5,031 km
          1.000-m gauge
          (2008)"
Cambodia,"total:
          642 km
          
          (2014)
        
        
          narrow gauge:
          642 km
          1.000-m gauge
          (2014)
        

  

    
      note: under restoration"
Cameroon,"total:
          987 km
          
          (2014)
        
        
          narrow gauge:
          987 km
          1.000-m gauge
          (2014)
        

  

    
      note: railway connections generally efficient but limited; rail lines connect major cities of Douala, Yaounde, Ngaoundere, and Garoua; passenger and freight service provided by CAMRAIL"
Canada,"total:
          77,932 km
          
          (2014)
        
        
          standard gauge:
          77,932 km
          1.435-m gauge
          (2014)"
Chile,"total:
          7,282 km
          
          (2014)
        
        
          narrow gauge:
          3,853.5 km
          1.000-m gauge
          (2014)
        
        
          broad gauge:
          3,428 km
          1.676-m gauge (1,691 km electrified)
          (2014)"
China,"total:
          124,000 km
          
          (2017)
        
        
          standard gauge:
          124,000 km
          1.435-m gauge (80,000 km electrified); 102,000 traditional, 22,000 high-speed
          (2017)"
Christmas Island,"total:
          18 km
          
          (2017)
        
        
          standard gauge:
          18 km
          1.435-m (not in operation)
          (2017)
        

  

    
      note: the 18-km Christmas Island Phosphate Company Railway between Flying Fish Cove and South Point was decommissioned in 1987; some tracks and scrap remain in place"
Colombia,"total:
          2,141 km
          
          (2015)
        
        
          standard gauge:
          150 km
          1.435-m gauge
          (2015)
        
        
          narrow gauge:
          1,991 km
          0.914-m gauge
          (2015)"
"Congo, Democratic Republic of the","total:
          4,007 km
          
          (2014)
        
        
          narrow gauge:
          3,882 km
          1.067-m gauge (858 km electrified)
          (2014)
        

  

    
      125 1.000-m gauge"
"Congo, Republic of the","total:
          510 km
          
          (2014)
        
        
          narrow gauge:
          510 km
          1.067-m gauge
          (2014)"
