Country,ABV,IDH,Expec_Vida,Espc_Estudo_Anos,Media_Estudo_Aanos
Norway,NOR,0.953,82.3,17.9,12.6
Switzerland,CHE,0.944,83.5,16.2,13.4
Australia,AUS,0.939,83.1,22.9,12.9
Ireland,IRL,0.938,81.6,19.6,12.5
Germany,DEU,0.936,81.2,17.0,14.1
Iceland,ISL,0.935,82.9,19.3,12.4
Hong Kong. China (SAR),HKG,0.933,84.1,16.3,12.0
Sweden,SWE,0.933,82.6,17.6,12.4
Singapore,SGP,0.932,83.2,16.2,11.5
Netherlands,NLD,0.931,82.0,18.0,12.2
Denmark,DNK,0.929,80.9,19.1,12.6
Canada,CAN,0.926,82.5,16.4,13.3
United States,USA,0.924,79.5,16.5,13.4
United Kingdom,GBR,0.922,81.7,17.4,12.9
Finland,FIN,0.920,81.5,17.6,12.4
New Zealand,NZL,0.917,82.0,18.9,12.5
Belgium,BEL,0.916,81.3,19.8,11.8
Liechtenstein,LIE,0.916,80.4,14.7,12.5
Japan,JPN,0.909,83.9,15.2,12.8
Austria,AUT,0.908,81.8,16.1,12.1
Luxembourg,LUX,0.904,82.0,14.0,12.1
Israel,ISR,0.903,82.7,15.9,13.0
Korea (Republic of),KOR,0.903,82.4,16.5,12.1
France,FRA,0.901,82.7,16.4,11.5
Slovenia,SVN,0.896,81.1,17.2,12.2
Spain,ESP,0.891,83.3,17.9,9.8
Czechia,CZE,0.888,78.9,16.9,12.7
Italy,ITA,0.880,83.2,16.3,10.2
Malta,MLT,0.878,81.0,15.9,11.3
Estonia,EST,0.871,77.7,16.1,12.7
Greece,GRC,0.870,81.4,17.3,10.8
Cyprus,CYP,0.869,80.7,14.6,12.1
Poland,POL,0.865,77.8,16.4,12.3
United Arab Emirates,ARE,0.863,77.4,13.6,10.8
Andorra,AND,0.858,81.7,13.5,10.2
Lithuania,LTU,0.858,74.8,16.1,13.0
Qatar,QAT,0.856,78.3,13.4,9.8
Slovakia,SVK,0.855,77.0,15.0,12.5
Brunei Darussalam,BRN,0.853,77.4,14.5,9.1
Saudi Arabia,SAU,0.853,74.7,16.9,9.5
Latvia,LVA,0.847,74.7,15.8,12.8
Portugal,PRT,0.847,81.4,16.3,9.2
Bahrain,BHR,0.846,77.0,16.0,9.4
Chile,CHL,0.843,79.7,16.4,10.3
Hungary,HUN,0.838,76.1,15.1,11.9
Croatia,HRV,0.831,77.8,15.0,11.3
Argentina,ARG,0.825,76.7,17.4,9.9
Oman,OMN,0.821,77.3,13.9,9.5
Russian Federation,RUS,0.816,71.2,15.5,12.0
Montenegro,MNE,0.814,77.3,14.9,11.3
Bulgaria,BGR,0.813,74.9,14.8,11.8
Romania,ROU,0.811,75.6,14.3,11.0
Belarus,BLR,0.808,73.1,15.5,12.3
Bahamas,BHS,0.807,75.8,12.8,11.1
Uruguay,URY,0.804,77.6,15.9,8.7
Kuwait,KWT,0.803,74.8,13.6,7.3
Malaysia,MYS,0.802,75.5,13.7,10.2
Barbados,BRB,0.800,76.1,15.3,10.6
Kazakhstan,KAZ,0.800,70.0,15.1,11.8
Iran (Islamic Republic of),IRN,0.798,76.2,14.9,9.8
Palau,PLW,0.798,73.4,15.6,12.3
Seychelles,SYC,0.797,73.7,14.8,9.5
Costa Rica,CRI,0.794,80.0,15.4,8.8
Turkey,TUR,0.791,76.0,15.2,8.0
Mauritius,MUS,0.790,74.9,15.1,9.3
Panama,PAN,0.789,78.2,12.7,10.2
Serbia,SRB,0.787,75.3,14.6,11.1
Albania,ALB,0.785,78.5,14.8,10.0
Trinidad and Tobago,TTO,0.784,70.8,12.9,10.9
Antigua and Barbuda,ATG,0.780,76.5,13.2,9.2
Georgia,GEO,0.780,73.4,15.0,12.8
Saint Kitts and Nevis,KNA,0.778,74.4,14.4,8.4
Cuba,CUB,0.777,79.9,14.0,11.8
Mexico,MEX,0.774,77.3,14.1,8.6
Grenada,GRD,0.772,73.8,16.9,8.7
Sri Lanka,LKA,0.770,75.5,13.9,10.9
Bosnia and Herzegovina,BIH,0.768,77.1,14.2,9.7
Venezuela (Bolivarian Republic of),VEN,0.761,74.7,14.3,10.3
Brazil,BRA,0.759,75.7,15.4,7.8
Azerbaijan,AZE,0.757,72.1,12.7,10.7
Lebanon,LBN,0.757,79.8,12.5,8.7
The former Yugoslav Republic of Macedonia,MKD,0.757,75.9,13.3,9.6
Armenia,ARM,0.755,74.8,13.0,11.7
Thailand,THA,0.755,75.5,14.7,7.6
Algeria,DZA,0.754,76.3,14.4,8.0
China,CHN,0.752,76.4,13.8,7.8
Ecuador,ECU,0.752,76.6,14.7,8.7
Ukraine,UKR,0.751,72.1,15.0,11.3
Peru,PER,0.750,75.2,13.8,9.2
Colombia,COL,0.747,74.6,14.4,8.3
Saint Lucia,LCA,0.747,75.7,13.6,8.9
Fiji,FJI,0.741,70.4,15.3,10.8
Mongolia,MNG,0.741,69.5,15.5,10.1
Dominican Republic,DOM,0.736,74.0,13.7,7.8
Jordan,JOR,0.735,74.5,13.1,10.4
Tunisia,TUN,0.735,75.9,15.1,7.2
Jamaica,JAM,0.732,76.1,13.1,9.8
Tonga,TON,0.726,73.2,14.3,11.2
Saint Vincent and the Grenadines,VCT,0.723,73.3,13.3,8.6
Suriname,SUR,0.720,71.5,12.7,8.5
Botswana,BWA,0.717,67.6,12.6,9.3
Maldives,MDV,0.717,77.6,12.6,6.3
Dominica,DMA,0.715,78.0,12.7,7.8
Samoa,WSM,0.713,75.2,12.5,10.3
Uzbekistan,UZB,0.710,71.4,12.0,11.5
Belize,BLZ,0.708,70.6,12.8,10.5
Marshall Islands,MHL,0.708,73.6,13.0,10.9
Libya,LBY,0.706,72.1,13.4,7.3
